code_BLOSUM62_GO_-10_GE_-0.2,sp_HENIKOFF_with_gaps_BLOSUM62_GO_-10_GE_-0.2,sp_HENIKOFF_without_gaps_BLOSUM62_GO_-10_GE_-0.2,sp_CLUSTAL_WEIGHTS_mid_root_BLOSUM62_GO_-10_GE_-0.2,sp_CLUSTAL_WEIGHTS_diff_sum_BLOSUM62_GO_-10_GE_-0.2
'bali_phy_msa.172.fas', 131.646, 124.608, 1277.961, 1123.569
'bali_phy_msa.173.fas', 134.033, 127.379, 1379.167, 1173.185
'bali_phy_msa.174.fas', 135.534, 129.205, 1457.329, 1162.466
'bali_phy_msa.175.fas', 133.141, 126.103, 1338.52, 1128.984
'bali_phy_msa.176.fas', 134.07, 127.196, 1286.221, 1148.554
'bali_phy_msa.177.fas', 133.189, 126.251, 1394.835, 1122.885
'bali_phy_msa.178.fas', 133.344, 126.672, 1313.82, 1172.467
'bali_phy_msa.179.fas', 132.133, 125.191, 1260.42, 1092.234
'bali_phy_msa.18.fas', 134.252, 127.254, 1380.682, 1139.256
'bali_phy_msa.180.fas', 132.753, 125.717, 1443.14, 1138.771
'bali_phy_msa.181.fas', 132.221, 125.352, 1356.824, 1147.664
'bali_phy_msa.182.fas', 134.295, 127.713, 1389.689, 1147.812
'bali_phy_msa.183.fas', 133.935, 127.325, 1405.289, 1150.393
'bali_phy_msa.184.fas', 134.039, 127.498, 1473.272, 1168.341
'bali_phy_msa.185.fas', 133.022, 126.152, 1363.428, 1121.753
'bali_phy_msa.186.fas', 133.963, 127.275, 1306.971, 1169.7
'bali_phy_msa.187.fas', 134.028, 127.1, 1354.622, 1125.896
'bali_phy_msa.188.fas', 133.081, 126.254, 1338.346, 1114.069
'bali_phy_msa.189.fas', 132.21, 125.399, 1407.525, 1134.707
'bali_phy_msa.19.fas', 133.843, 127.153, 1483.878, 1156.494
'bali_phy_msa.190.fas', 133.391, 126.645, 1328.391, 1162.095
'bali_phy_msa.191.fas', 133.196, 126.914, 1430.947, 1171.938
'bali_phy_msa.192.fas', 132.507, 125.789, 1266.209, 1129.422
'bali_phy_msa.193.fas', 134.168, 127.771, 1428.148, 1177.048
'bali_phy_msa.194.fas', 129.61, 122.647, 1295.984, 1080.775
'bali_phy_msa.195.fas', 134.146, 127.603, 1289.169, 1159.847
'bali_phy_msa.196.fas', 135.468, 129.555, 1362.803, 1209.98
'bali_phy_msa.197.fas', 134.547, 128.109, 1389.39, 1145.382
'bali_phy_msa.198.fas', 133.932, 127.139, 1462.995, 1144.835
'bali_phy_msa.199.fas', 133.75, 127.538, 1405.694, 1152.59
'bali_phy_msa.2.fas', 130.318, 122.323, 1281.72, 1035.626
'bali_phy_msa.20.fas', 134.658, 128.216, 1378.132, 1183.888
'bali_phy_msa.200.fas', 134.37, 127.734, 1322.506, 1166.353
'bali_phy_msa.201.fas', 133.293, 126.683, 1394.133, 1144.162
'bali_phy_msa.202.fas', 134.608, 128.016, 1445.11, 1158.439
'bali_phy_msa.203.fas', 132.983, 126.108, 1214.321, 1129.695
