code_BLOSUM62_GO_-6_GE_-0.5,sp_HENIKOFF_with_gaps_BLOSUM62_GO_-6_GE_-0.5,sp_HENIKOFF_without_gaps_BLOSUM62_GO_-6_GE_-0.5,sp_CLUSTAL_WEIGHTS_mid_root_BLOSUM62_GO_-6_GE_-0.5,sp_CLUSTAL_WEIGHTS_diff_sum_BLOSUM62_GO_-6_GE_-0.5
'bali_phy_msa.1.fas', -59.569, -59.606, -93238.199, -96384.908
'bali_phy_msa.10.fas', 137.083, 130.134, 1407.171, 1201.343
'bali_phy_msa.100.fas', 134.843, 127.202, 1372.104, 1151.361
'bali_phy_msa.101.fas', 134.454, 126.728, 1414.783, 1157.494
'bali_phy_msa.102.fas', 135.623, 128.284, 1467.031, 1146.021
'bali_phy_msa.103.fas', 134.556, 127.112, 1376.467, 1138.02
'bali_phy_msa.104.fas', 136.484, 129.471, 1387.957, 1180.044
'bali_phy_msa.105.fas', 136.438, 129.309, 1459.008, 1198.102
'bali_phy_msa.106.fas', 133.48, 125.902, 1338.605, 1127.086
'bali_phy_msa.107.fas', 136.801, 129.484, 1329.57, 1169.638
'bali_phy_msa.108.fas', 136.154, 128.732, 1260.875, 1159.075
'bali_phy_msa.109.fas', 135.806, 128.629, 1273.667, 1157.633
'bali_phy_msa.11.fas', 137.351, 130.501, 1458.153, 1197.996
'bali_phy_msa.110.fas', 138.368, 131.535, 1568.918, 1229.866
'bali_phy_msa.111.fas', 133.761, 126.002, 1223.621, 1117.638
'bali_phy_msa.112.fas', 136.239, 128.933, 1331.878, 1144.709
'bali_phy_msa.113.fas', 137.409, 130.382, 1486.402, 1206.79
'bali_phy_msa.114.fas', 135.912, 128.448, 1357.141, 1170.748
'bali_phy_msa.115.fas', 135.283, 127.524, 1312.039, 1145.285
'bali_phy_msa.116.fas', 135.235, 127.721, 1352.101, 1173.666
'bali_phy_msa.117.fas', 136.135, 128.79, 1290.9, 1165.04
'bali_phy_msa.118.fas', 134.612, 126.925, 1331.535, 1139.297
'bali_phy_msa.119.fas', 136.309, 129.104, 1380.664, 1190.331
'bali_phy_msa.12.fas', 135.457, 128.231, 1357.744, 1155.729
'bali_phy_msa.120.fas', 136.521, 129.262, 1346.276, 1167.705
'bali_phy_msa.121.fas', 136.219, 128.858, 1434.173, 1194.317
'bali_phy_msa.122.fas', 134.941, 127.311, 1310.663, 1117.994
'bali_phy_msa.123.fas', 136.186, 128.748, 1197.853, 1141.781
'bali_phy_msa.124.fas', 136.537, 129.434, 1458.222, 1135.171
'bali_phy_msa.125.fas', 136.456, 129.173, 1443.289, 1155.87
'bali_phy_msa.126.fas', 137.182, 130.259, 1377.773, 1217.589
'bali_phy_msa.127.fas', 137.977, 131.419, 1505.262, 1239.608
'bali_phy_msa.128.fas', 135.173, 127.515, 1397.932, 1159.484
'bali_phy_msa.129.fas', 137.2, 130.11, 1489.215, 1216.52
'bali_phy_msa.13.fas', 136.33, 129.088, 1347.276, 1144.003
'bali_phy_msa.130.fas', 136.121, 128.674, 1411.238, 1153.166
'bali_phy_msa.131.fas', 134.655, 126.987, 1241.241, 1135.88
'bali_phy_msa.132.fas', 136.869, 130.056, 1409.94, 1195.713
'bali_phy_msa.133.fas', 135.529, 128.164, 1365.244, 1155.143
'bali_phy_msa.134.fas', 135.842, 128.641, 1498.874, 1188.47
'bali_phy_msa.135.fas', 135.205, 127.773, 1389.032, 1162.013
'bali_phy_msa.136.fas', 136.871, 129.55, 1412.951, 1199.726
'bali_phy_msa.137.fas', 135.308, 127.865, 1289.092, 1161.937
'bali_phy_msa.138.fas', 136.08, 128.825, 1373.842, 1166.774
'bali_phy_msa.139.fas', 138.067, 131.248, 1389.627, 1194.089
'bali_phy_msa.14.fas', 136.41, 129.124, 1486.459, 1176.707
'bali_phy_msa.140.fas', 135.835, 128.666, 1406.898, 1167.611
'bali_phy_msa.141.fas', 136.854, 129.869, 1480.761, 1194.244
'bali_phy_msa.142.fas', 136.915, 129.857, 1376.176, 1195.082
'bali_phy_msa.143.fas', 136.099, 128.825, 1518.62, 1177.727
'bali_phy_msa.144.fas', 135.112, 127.736, 1293.819, 1166.615
'bali_phy_msa.145.fas', 135.043, 127.605, 1343.4, 1149.858
'bali_phy_msa.146.fas', 136.092, 128.925, 1384.905, 1165.752
'bali_phy_msa.147.fas', 136.047, 128.959, 1457.775, 1178.838
'bali_phy_msa.148.fas', 134.098, 126.43, 1317.028, 1134.612
'bali_phy_msa.149.fas', 135.875, 128.309, 1421.702, 1158.385
'bali_phy_msa.15.fas', 135.729, 128.096, 1277.194, 1127.131
'bali_phy_msa.150.fas', 138.052, 131.358, 1439.104, 1212.29
'bali_phy_msa.151.fas', 137.86, 131.133, 1571.072, 1216.094
'bali_phy_msa.152.fas', 135.873, 128.903, 1461.445, 1178.039
'bali_phy_msa.153.fas', 136.645, 129.648, 1415.097, 1188.001
'bali_phy_msa.154.fas', 135.389, 127.863, 1386.162, 1149.599
'bali_phy_msa.155.fas', 134.548, 126.738, 1280.196, 1138.134
'bali_phy_msa.156.fas', 136.324, 129.051, 1400.726, 1176.049
'bali_phy_msa.157.fas', 133.535, 125.838, 1213.66, 1125.679
'bali_phy_msa.158.fas', 136.561, 129.182, 1394.021, 1171.786
'bali_phy_msa.159.fas', 137.424, 130.095, 1381.241, 1194.848
'bali_phy_msa.16.fas', 135.438, 127.987, 1369.279, 1137.193
'bali_phy_msa.160.fas', 133.591, 126.235, 1300.062, 1144.1
'bali_phy_msa.161.fas', 135.316, 127.645, 1416.618, 1133.335
'bali_phy_msa.162.fas', 136.161, 129.24, 1467.406, 1190.044
'bali_phy_msa.163.fas', 135.9, 128.608, 1281.143, 1146.748
'bali_phy_msa.164.fas', 136.664, 129.559, 1435.556, 1184.368
'bali_phy_msa.165.fas', 135.406, 127.913, 1233.446, 1140.993
'bali_phy_msa.166.fas', 136.118, 128.904, 1423.171, 1165.123
'bali_phy_msa.167.fas', 137.026, 130.114, 1398.066, 1193.758
'bali_phy_msa.168.fas', 136.001, 128.635, 1396.592, 1151.051
'bali_phy_msa.169.fas', 134.802, 127.21, 1183.6, 1132.325
'bali_phy_msa.17.fas', 135.333, 127.794, 1361.135, 1158.456
'bali_phy_msa.170.fas', 136.353, 129.415, 1422.515, 1179.402
'bali_phy_msa.171.fas', 136.915, 130.103, 1449.852, 1211.327
