code_PAM250_GO_-6_GE_-0.5,sp_HENIKOFF_with_gaps_PAM250_GO_-6_GE_-0.5,sp_HENIKOFF_without_gaps_PAM250_GO_-6_GE_-0.5,sp_CLUSTAL_WEIGHTS_mid_root_PAM250_GO_-6_GE_-0.5,sp_CLUSTAL_WEIGHTS_diff_sum_PAM250_GO_-6_GE_-0.5
'bali_phy_msa.1.fas', -45.14, -47.214, -39.145, -46.082
'bali_phy_msa.10.fas', 33.904, 42.687, 27.71, 34.661
'bali_phy_msa.100.fas', 34.461, 43.04, 27.175, 34.284
'bali_phy_msa.101.fas', 33.698, 42.386, 28.66, 34.319
'bali_phy_msa.102.fas', 30.549, 38.491, 26.221, 30.77
'bali_phy_msa.103.fas', 33.087, 41.568, 28.231, 33.389
'bali_phy_msa.104.fas', 34.626, 43.741, 29.399, 35.248
'bali_phy_msa.105.fas', 33.366, 41.746, 28.847, 33.952
'bali_phy_msa.106.fas', 33.607, 42.538, 31.167, 33.723
'bali_phy_msa.107.fas', 34.38, 42.801, 27.497, 34.978
'bali_phy_msa.108.fas', 33.59, 42.004, 28.404, 34.463
'bali_phy_msa.109.fas', 35.081, 43.904, 28.717, 35.683
'bali_phy_msa.11.fas', 33.862, 42.261, 27.617, 34.57
'bali_phy_msa.110.fas', 34.609, 43.185, 28.718, 35.58
'bali_phy_msa.111.fas', 31.913, 40.061, 27.268, 32.227
'bali_phy_msa.112.fas', 33.453, 41.743, 29.644, 33.623
'bali_phy_msa.113.fas', 33.088, 41.589, 28.29, 33.341
'bali_phy_msa.114.fas', 33.196, 41.81, 26.89, 33.755
'bali_phy_msa.115.fas', 34.73, 43.557, 27.253, 35.849
'bali_phy_msa.116.fas', 34.412, 43.019, 28.788, 34.392
'bali_phy_msa.117.fas', 30.788, 38.554, 26.087, 30.542
'bali_phy_msa.118.fas', 33.915, 42.471, 26.817, 34.502
'bali_phy_msa.119.fas', 33.797, 42.338, 28.361, 34.139
'bali_phy_msa.12.fas', 35.039, 43.881, 27.528, 35.153
'bali_phy_msa.120.fas', 33.139, 41.396, 28.131, 33.451
'bali_phy_msa.121.fas', 33.739, 42.022, 28.042, 33.543
'bali_phy_msa.122.fas', 34.772, 43.433, 27.306, 35.653
'bali_phy_msa.123.fas', 33.43, 41.788, 26.501, 34.72
'bali_phy_msa.124.fas', 32.266, 40.269, 26.585, 32.228
'bali_phy_msa.125.fas', 34.628, 43.114, 32.077, 34.549
'bali_phy_msa.126.fas', 32.213, 40.243, 27.914, 32.617
'bali_phy_msa.127.fas', 33.82, 42.119, 27.309, 34.864
'bali_phy_msa.128.fas', 34.876, 43.742, 27.936, 34.314
'bali_phy_msa.129.fas', 34.213, 42.675, 27.233, 34.836
'bali_phy_msa.13.fas', 34.534, 43.346, 28.397, 35.524
'bali_phy_msa.130.fas', 32.79, 41.21, 28.218, 33.339
'bali_phy_msa.131.fas', 33.435, 41.937, 27.529, 33.871
'bali_phy_msa.132.fas', 33.725, 42.068, 28.79, 34.165
'bali_phy_msa.133.fas', 33.97, 42.408, 28.144, 33.512
'bali_phy_msa.134.fas', 33.879, 42.608, 28.578, 34.461
'bali_phy_msa.135.fas', 34.394, 42.884, 29.201, 34.627
'bali_phy_msa.136.fas', 34.036, 42.666, 27.515, 35.173
'bali_phy_msa.137.fas', 34.402, 42.928, 28.205, 35.102
'bali_phy_msa.138.fas', 33.438, 41.942, 28.675, 34.052
'bali_phy_msa.139.fas', 33.159, 41.362, 27.657, 33.969
'bali_phy_msa.14.fas', 35.277, 44.3, 28.309, 36.335
'bali_phy_msa.140.fas', 33.424, 41.858, 27.051, 34.788
'bali_phy_msa.141.fas', 32.919, 41.11, 29.402, 33.122
'bali_phy_msa.142.fas', 35.774, 44.753, 28.989, 36.947
'bali_phy_msa.143.fas', 34.948, 43.888, 29.617, 35.385
'bali_phy_msa.144.fas', 33.083, 41.47, 27.372, 33.264
'bali_phy_msa.145.fas', 31.152, 38.816, 26.918, 31.485
'bali_phy_msa.146.fas', 34.287, 42.939, 26.991, 34.673
