code_PAM250_GO_-10_GE_-0.2,sp_HENIKOFF_with_gaps_PAM250_GO_-10_GE_-0.2,sp_HENIKOFF_without_gaps_PAM250_GO_-10_GE_-0.2,sp_CLUSTAL_WEIGHTS_mid_root_PAM250_GO_-10_GE_-0.2,sp_CLUSTAL_WEIGHTS_diff_sum_PAM250_GO_-10_GE_-0.2
'bali_phy_msa.1.fas', -34.495, -36.622, -31.051, -34.731
'bali_phy_msa.10.fas', 40.718, 50.058, 33.907, 42.701
'bali_phy_msa.100.fas', 42.119, 51.339, 33.918, 43.309
'bali_phy_msa.101.fas', 41.006, 50.286, 35.237, 42.925
'bali_phy_msa.102.fas', 37.064, 45.371, 32.089, 38.368
'bali_phy_msa.103.fas', 40.066, 49.029, 34.532, 41.601
'bali_phy_msa.104.fas', 42.186, 51.933, 36.106, 44.006
'bali_phy_msa.105.fas', 40.946, 49.946, 35.512, 42.694
'bali_phy_msa.106.fas', 40.882, 50.563, 37.407, 42.265
'bali_phy_msa.107.fas', 41.606, 50.571, 34.097, 43.286
'bali_phy_msa.108.fas', 39.681, 48.402, 33.866, 41.549
'bali_phy_msa.109.fas', 42.388, 51.799, 35.454, 44.26
'bali_phy_msa.11.fas', 40.926, 49.809, 34.039, 42.634
'bali_phy_msa.110.fas', 41.86, 50.943, 35.489, 44.109
'bali_phy_msa.111.fas', 39.047, 47.673, 33.847, 40.494
'bali_phy_msa.112.fas', 40.436, 49.17, 35.879, 41.829
'bali_phy_msa.113.fas', 39.646, 48.516, 34.332, 40.909
'bali_phy_msa.114.fas', 40.646, 49.851, 33.514, 42.453
'bali_phy_msa.115.fas', 42.243, 51.679, 34.021, 44.522
'bali_phy_msa.116.fas', 41.821, 51.095, 35.369, 43.097
'bali_phy_msa.117.fas', 37.076, 45.128, 31.821, 37.944
'bali_phy_msa.118.fas', 40.976, 50.037, 33.249, 42.559
'bali_phy_msa.119.fas', 41.017, 50.098, 34.976, 42.553
'bali_phy_msa.12.fas', 42.372, 51.792, 34.262, 43.722
'bali_phy_msa.120.fas', 40.509, 49.315, 34.92, 42.097
'bali_phy_msa.121.fas', 40.59, 49.27, 34.409, 41.484
'bali_phy_msa.122.fas', 42.191, 51.366, 34.054, 44.202
'bali_phy_msa.123.fas', 40.24, 48.998, 32.658, 42.667
'bali_phy_msa.124.fas', 38.748, 47.109, 32.747, 39.869
'bali_phy_msa.125.fas', 41.551, 50.458, 38.225, 42.726
