code_PAM250_GO_-6_GE_-0.5,sp_match_count,sp_match_count_norm,sp_mismatch_count,sp_mismatch_count_norm,sp_go,sp_go_norm,sp_ge,sp_ge_norm,sp_match_PAM250,sp_match_norm_PAM250,sp_mismatch_PAM250,sp_mismatch_norm_PAM250,sp_PAM250_GO_-6_GE_-0.5,sp_norm_PAM250_GO_-6_GE_-0.5
'bali_phy_msa.1.fas', 8943.0, 0.026, 71201, 0.208, 1217, 0.004, 61633, 0.18, 42921.0, 0.125, -73237, -0.214, -68434.5, -0.2
'bali_phy_msa.10.fas', 33947.0, 0.061, 25032, 0.045, 5444, 0.01, 103963, 0.186, 172847.0, 0.309, -813, -0.001, 87388.5, 0.156
'bali_phy_msa.100.fas', 33882.0, 0.061, 25155, 0.045, 5086, 0.009, 103847, 0.185, 173814.0, 0.31, -905, -0.002, 90469.5, 0.162
'bali_phy_msa.101.fas', 33718.0, 0.06, 25575, 0.046, 5148, 0.009, 103335, 0.185, 172725.0, 0.309, -1988, -0.004, 88181.5, 0.158
'bali_phy_msa.102.fas', 33337.0, 0.058, 24802, 0.043, 5452, 0.009, 105643, 0.183, 171564.0, 0.298, -1443, -0.003, 84587.5, 0.147
'bali_phy_msa.103.fas', 33566.0, 0.058, 25194, 0.044, 5260, 0.009, 104401, 0.181, 172067.0, 0.298, -1153, -0.002, 87153.5, 0.151
'bali_phy_msa.104.fas', 33686.0, 0.059, 25492, 0.045, 5043, 0.009, 103565, 0.182, 172028.0, 0.302, -1163, -0.002, 88824.5, 0.156
'bali_phy_msa.105.fas', 33575.0, 0.058, 24616, 0.042, 5130, 0.009, 105539, 0.182, 170790.0, 0.295, -188, -0.0, 87052.5, 0.15
'bali_phy_msa.106.fas', 33704.0, 0.056, 25132, 0.042, 5326, 0.009, 104249, 0.174, 172586.0, 0.289, -1058, -0.002, 87447.5, 0.146
'bali_phy_msa.107.fas', 33916.0, 0.06, 25006, 0.044, 5142, 0.009, 104077, 0.184, 173867.0, 0.307, -526, -0.001, 90450.5, 0.159
'bali_phy_msa.108.fas', 34011.0, 0.061, 25056, 0.045, 5454, 0.01, 103787, 0.186, 174415.0, 0.312, -593, -0.001, 89204.5, 0.16
'bali_phy_msa.109.fas', 34000.0, 0.06, 25308, 0.045, 5123, 0.009, 103305, 0.183, 173733.0, 0.308, -836, -0.001, 90506.5, 0.16
'bali_phy_msa.11.fas', 33689.0, 0.059, 24912, 0.044, 5178, 0.009, 104719, 0.184, 173240.0, 0.304, -490, -0.001, 89322.5, 0.157
'bali_phy_msa.110.fas', 33966.0, 0.06, 25370, 0.045, 5125, 0.009, 103249, 0.184, 173808.0, 0.309, -1389, -0.002, 90044.5, 0.16
'bali_phy_msa.111.fas', 33469.0, 0.057, 24336, 0.041, 5294, 0.009, 106311, 0.18, 170193.0, 0.288, -607, -0.001, 84666.5, 0.143
'bali_phy_msa.112.fas', 33749.0, 0.06, 25094, 0.045, 5259, 0.009, 104235, 0.185, 171854.0, 0.305, -584, -0.001, 87598.5, 0.155
'bali_phy_msa.113.fas', 33766.0, 0.059, 25138, 0.044, 5306, 0.009, 104113, 0.181, 172692.0, 0.301, -705, -0.001, 88094.5, 0.153
'bali_phy_msa.114.fas', 33578.0, 0.06, 24795, 0.044, 5196, 0.009, 105175, 0.188, 171148.0, 0.306, -953, -0.002, 86431.5, 0.155
'bali_phy_msa.115.fas', 33857.0, 0.061, 25605, 0.046, 5019, 0.009, 102997, 0.186, 173407.0, 0.313, -1812, -0.003, 89982.5, 0.163
'bali_phy_msa.116.fas', 33829.0, 0.06, 24433, 0.043, 5306, 0.009, 105397, 0.187, 172865.0, 0.307, -298, -0.001, 88032.5, 0.156
'bali_phy_msa.117.fas', 33677.0, 0.059, 25067, 0.044, 5377, 0.009, 104433, 0.183, 172407.0, 0.301, -1777, -0.003, 86151.5, 0.151
'bali_phy_msa.118.fas', 33834.0, 0.061, 25194, 0.046, 5204, 0.009, 103865, 0.188, 173434.0, 0.313, -2076, -0.004, 88201.5, 0.159
'bali_phy_msa.119.fas', 33696.0, 0.06, 24765, 0.044, 5248, 0.009, 104999, 0.188, 171727.0, 0.308, -604, -0.001, 87135.5, 0.156
'bali_phy_msa.12.fas', 33824.0, 0.06, 25453, 0.045, 5109, 0.009, 103367, 0.185, 173334.0, 0.31, -512, -0.001, 90484.5, 0.162
'bali_phy_msa.120.fas', 33608.0, 0.058, 24493, 0.043, 5213, 0.009, 105719, 0.184, 171507.0, 0.299, -475, -0.001, 86894.5, 0.151
'bali_phy_msa.121.fas', 33731.0, 0.059, 25008, 0.044, 5227, 0.009, 104443, 0.184, 172966.0, 0.304, -556, -0.001, 88826.5, 0.156
'bali_phy_msa.122.fas', 33892.0, 0.061, 25478, 0.046, 4959, 0.009, 103181, 0.186, 173431.0, 0.313, -1399, -0.003, 90687.5, 0.163
'bali_phy_msa.123.fas', 33743.0, 0.06, 25570, 0.046, 5206, 0.009, 103295, 0.185, 172739.0, 0.309, -1125, -0.002, 88730.5, 0.159
'bali_phy_msa.124.fas', 33746.0, 0.058, 24043, 0.042, 5523, 0.01, 106343, 0.184, 171959.0, 0.297, 565, 0.001, 86214.5, 0.149
'bali_phy_msa.125.fas', 33852.0, 0.061, 25539, 0.046, 5173, 0.009, 103139, 0.186, 173791.0, 0.313, -1406, -0.003, 89777.5, 0.162
'bali_phy_msa.126.fas', 33592.0, 0.056, 24753, 0.041, 5386, 0.009, 105231, 0.176, 172107.0, 0.288, -882, -0.001, 86293.5, 0.144
'bali_phy_msa.127.fas', 33748.0, 0.06, 25134, 0.045, 5254, 0.009, 104157, 0.186, 173403.0, 0.31, -745, -0.001, 89055.5, 0.159
'bali_phy_msa.128.fas', 33842.0, 0.059, 25299, 0.044, 5109, 0.009, 103639, 0.182, 173349.0, 0.304, -607, -0.001, 90268.5, 0.158
'bali_phy_msa.129.fas', 33851.0, 0.06, 25376, 0.045, 5084, 0.009, 103467, 0.184, 173366.0, 0.309, -1074, -0.002, 90054.5, 0.161
'bali_phy_msa.13.fas', 33717.0, 0.06, 24750, 0.044, 5182, 0.009, 104987, 0.188, 172034.0, 0.308, -405, -0.001, 88043.5, 0.158
'bali_phy_msa.130.fas', 33329.0, 0.058, 24555, 0.042, 5182, 0.009, 106153, 0.184, 169770.0, 0.294, -462, -0.001, 85139.5, 0.147
'bali_phy_msa.131.fas', 33703.0, 0.06, 24522, 0.044, 5484, 0.01, 105471, 0.188, 171919.0, 0.306, -937, -0.002, 85342.5, 0.152
'bali_phy_msa.132.fas', 33720.0, 0.059, 24952, 0.044, 5080, 0.009, 104577, 0.184, 172791.0, 0.303, -1322, -0.002, 88700.5, 0.156
'bali_phy_msa.133.fas', 33895.0, 0.06, 25037, 0.044, 5350, 0.009, 104057, 0.184, 173948.0, 0.308, -497, -0.001, 89322.5, 0.158
'bali_phy_msa.134.fas', 33800.0, 0.059, 24820, 0.043, 5352, 0.009, 104681, 0.181, 172068.0, 0.298, -254, -0.0, 87361.5, 0.151
'bali_phy_msa.135.fas', 33812.0, 0.06, 25429, 0.045, 4989, 0.009, 103439, 0.185, 173151.0, 0.309, -2191, -0.004, 89306.5, 0.16
'bali_phy_msa.136.fas', 33865.0, 0.061, 25522, 0.046, 5185, 0.009, 103147, 0.186, 173399.0, 0.312, -1588, -0.003, 89127.5, 0.161
'bali_phy_msa.137.fas', 33696.0, 0.061, 25735, 0.046, 5138, 0.009, 103059, 0.186, 172882.0, 0.312, -476, -0.001, 90048.5, 0.162
'bali_phy_msa.138.fas', 33709.0, 0.057, 24327, 0.041, 5225, 0.009, 105849, 0.179, 171543.0, 0.289, 99, 0.0, 87367.5, 0.147
'bali_phy_msa.139.fas', 33588.0, 0.06, 25180, 0.045, 5233, 0.009, 104385, 0.188, 171139.0, 0.308, -108, -0.0, 87440.5, 0.157
'bali_phy_msa.14.fas', 33871.0, 0.061, 25597, 0.046, 5146, 0.009, 102985, 0.187, 173639.0, 0.315, -1061, -0.002, 90209.5, 0.164
'bali_phy_msa.140.fas', 33576.0, 0.059, 25085, 0.044, 5022, 0.009, 104599, 0.184, 171849.0, 0.302, -1419, -0.002, 87998.5, 0.154
'bali_phy_msa.141.fas', 33541.0, 0.057, 24111, 0.041, 5184, 0.009, 106617, 0.182, 170713.0, 0.291, -433, -0.001, 85867.5, 0.146
'bali_phy_msa.142.fas', 33955.0, 0.062, 25520, 0.046, 4979, 0.009, 102971, 0.187, 173740.0, 0.315, -1089, -0.002, 91291.5, 0.166
'bali_phy_msa.143.fas', 33738.0, 0.059, 25600, 0.045, 5057, 0.009, 103245, 0.181, 172971.0, 0.304, -1370, -0.002, 89636.5, 0.157
'bali_phy_msa.144.fas', 33671.0, 0.059, 24767, 0.044, 5325, 0.009, 105045, 0.186, 171607.0, 0.303, -811, -0.001, 86323.5, 0.153
'bali_phy_msa.145.fas', 33439.0, 0.058, 24366, 0.042, 5392, 0.009, 106311, 0.183, 170361.0, 0.293, -254, -0.0, 84599.5, 0.146
'bali_phy_msa.146.fas', 33781.0, 0.061, 25273, 0.046, 5158, 0.009, 103813, 0.187, 171877.0, 0.31, -785, -0.001, 88237.5, 0.159
'bali_phy_msa.147.fas', 33791.0, 0.059, 25053, 0.044, 5274, 0.009, 104233, 0.182, 173261.0, 0.303, -626, -0.001, 88874.5, 0.155
'bali_phy_msa.148.fas', 33459.0, 0.058, 24601, 0.043, 5206, 0.009, 105801, 0.184, 170626.0, 0.296, -690, -0.001, 85799.5, 0.149
'bali_phy_msa.149.fas', 33604.0, 0.059, 25039, 0.044, 5265, 0.009, 104635, 0.183, 171095.0, 0.299, -513, -0.001, 86674.5, 0.152
'bali_phy_msa.15.fas', 33459.0, 0.055, 24753, 0.041, 4968, 0.008, 105497, 0.173, 171607.0, 0.282, -552, -0.001, 88498.5, 0.145
'bali_phy_msa.150.fas', 33537.0, 0.058, 25020, 0.044, 5534, 0.01, 104807, 0.183, 172206.0, 0.3, -653, -0.001, 85945.5, 0.15
'bali_phy_msa.151.fas', 33372.0, 0.059, 25228, 0.045, 5057, 0.009, 104721, 0.185, 168737.0, 0.298, -1423, -0.003, 84611.5, 0.15
'bali_phy_msa.152.fas', 33759.0, 0.06, 25233, 0.045, 5120, 0.009, 103937, 0.184, 172855.0, 0.307, -645, -0.001, 89521.5, 0.159
'bali_phy_msa.153.fas', 33708.0, 0.06, 25325, 0.045, 5369, 0.01, 103855, 0.184, 172317.0, 0.305, -519, -0.001, 87656.5, 0.155
'bali_phy_msa.154.fas', 33683.0, 0.06, 24501, 0.043, 5377, 0.01, 105553, 0.187, 171372.0, 0.303, -517, -0.001, 85816.5, 0.152
'bali_phy_msa.155.fas', 33851.0, 0.06, 25258, 0.045, 5346, 0.01, 103703, 0.185, 172809.0, 0.308, -558, -0.001, 88323.5, 0.157
