code_BLOSUM62_GO_-10_GE_-0.5,sp_HENIKOFF_with_gaps_BLOSUM62_GO_-10_GE_-0.5,sp_HENIKOFF_without_gaps_BLOSUM62_GO_-10_GE_-0.5,sp_CLUSTAL_WEIGHTS_mid_root_BLOSUM62_GO_-10_GE_-0.5,sp_CLUSTAL_WEIGHTS_diff_sum_BLOSUM62_GO_-10_GE_-0.5
'bali_phy_msa.1.fas', -61.516, -61.553, -96291.188, -99473.224
'bali_phy_msa.10.fas', 119.756, 111.987, 1218.007, 1030.895
'bali_phy_msa.100.fas', 117.5, 109.028, 1185.121, 984.113
'bali_phy_msa.101.fas', 116.408, 107.698, 1215.178, 981.561
'bali_phy_msa.102.fas', 118.214, 109.954, 1269.765, 978.746
'bali_phy_msa.103.fas', 116.702, 108.376, 1182.534, 966.422
'bali_phy_msa.104.fas', 119.057, 111.162, 1200.206, 1010.93
'bali_phy_msa.105.fas', 119.204, 111.196, 1264.83, 1027.913
'bali_phy_msa.106.fas', 114.636, 106.02, 1136.393, 945.728
'bali_phy_msa.107.fas', 118.992, 110.666, 1143.209, 997.819
'bali_phy_msa.108.fas', 118.753, 110.403, 1085.17, 991.726
'bali_phy_msa.109.fas', 118.595, 110.649, 1097.698, 991.135
'bali_phy_msa.11.fas', 119.877, 112.176, 1263.075, 1026.414
'bali_phy_msa.110.fas', 121.321, 113.616, 1367.588, 1059.082
'bali_phy_msa.111.fas', 114.978, 106.179, 1034.769, 938.224
'bali_phy_msa.112.fas', 118.574, 110.379, 1147.148, 976.509
'bali_phy_msa.113.fas', 120.421, 112.55, 1293.978, 1039.197
'bali_phy_msa.114.fas', 118.36, 110.02, 1170.136, 999.688
'bali_phy_msa.115.fas', 117.148, 108.365, 1121.402, 970.145
'bali_phy_msa.116.fas', 117.587, 109.168, 1162.811, 1001.054
'bali_phy_msa.117.fas', 118.456, 110.182, 1107.736, 992.451
'bali_phy_msa.118.fas', 116.873, 108.313, 1143.906, 968.695
'bali_phy_msa.119.fas', 118.821, 110.748, 1192.133, 1019.02
'bali_phy_msa.12.fas', 117.982, 109.823, 1170.802, 987.288
'bali_phy_msa.120.fas', 119.62, 111.562, 1168.073, 1004.976
'bali_phy_msa.121.fas', 118.929, 110.608, 1241.871, 1023.588
'bali_phy_msa.122.fas', 116.929, 108.406, 1122.733, 947.536
'bali_phy_msa.123.fas', 118.525, 110.213, 1025.635, 973.139
'bali_phy_msa.124.fas', 118.911, 111.028, 1260.505, 967.876
'bali_phy_msa.125.fas', 118.974, 110.805, 1247.953, 987.898
'bali_phy_msa.126.fas', 119.288, 111.492, 1185.608, 1039.039
'bali_phy_msa.127.fas', 121.212, 113.919, 1314.576, 1071.917
'bali_phy_msa.128.fas', 117.968, 109.413, 1209.581, 993.02
'bali_phy_msa.129.fas', 120.107, 112.136, 1294.553, 1046.786
'bali_phy_msa.13.fas', 118.888, 110.805, 1163.05, 978.108
'bali_phy_msa.130.fas', 118.669, 110.373, 1220.288, 986.545
'bali_phy_msa.131.fas', 116.474, 107.917, 1057.664, 961.142
'bali_phy_msa.132.fas', 119.432, 111.781, 1218.15, 1023.054
'bali_phy_msa.133.fas', 117.708, 109.512, 1173.811, 983.647
'bali_phy_msa.134.fas', 118.456, 110.404, 1299.653, 1017.782
'bali_phy_msa.135.fas', 117.63, 109.273, 1197.964, 992.277
'bali_phy_msa.136.fas', 120.038, 111.828, 1227.68, 1033.705
'bali_phy_msa.137.fas', 117.115, 108.626, 1100.212, 984.145
'bali_phy_msa.138.fas', 118.394, 110.202, 1182.449, 994.157
'bali_phy_msa.139.fas', 120.666, 112.998, 1202.846, 1024.534
'bali_phy_msa.14.fas', 119.14, 110.947, 1289.62, 1008.64
'bali_phy_msa.140.fas', 118.702, 110.658, 1218.872, 1000.989
'bali_phy_msa.141.fas', 119.715, 111.98, 1286.895, 1026.221
'bali_phy_msa.142.fas', 119.579, 111.629, 1188.359, 1023.265
'bali_phy_msa.143.fas', 118.555, 110.376, 1315.229, 1006.428
'bali_phy_msa.144.fas', 117.809, 109.593, 1114.354, 997.511
'bali_phy_msa.145.fas', 117.052, 108.688, 1152.488, 976.521
'bali_phy_msa.146.fas', 118.788, 110.815, 1196.795, 997.907
'bali_phy_msa.147.fas', 118.71, 110.776, 1262.018, 1008.447
'bali_phy_msa.148.fas', 116.184, 107.549, 1127.733, 962.832
'bali_phy_msa.149.fas', 118.594, 110.096, 1230.936, 991.535
'bali_phy_msa.15.fas', 118.17, 109.638, 1098.052, 961.092
'bali_phy_msa.150.fas', 121.238, 113.766, 1253.613, 1046.865
'bali_phy_msa.151.fas', 120.981, 113.497, 1371.937, 1048.556
'bali_phy_msa.152.fas', 118.102, 110.307, 1261.948, 1004.717
'bali_phy_msa.153.fas', 119.502, 111.659, 1226.709, 1020.166
'bali_phy_msa.154.fas', 117.612, 109.268, 1193.93, 978.927
'bali_phy_msa.155.fas', 117.011, 108.337, 1100.021, 970.081
'bali_phy_msa.156.fas', 119.363, 111.31, 1215.949, 1011.177
'bali_phy_msa.157.fas', 114.819, 106.109, 1026.648, 946.464
'bali_phy_msa.158.fas', 119.202, 110.965, 1205.347, 1003.248
'bali_phy_msa.159.fas', 120.753, 112.62, 1202.119, 1031.77
'bali_phy_msa.16.fas', 117.635, 109.224, 1177.384, 966.838
'bali_phy_msa.160.fas', 114.996, 106.697, 1105.034, 963.152
'bali_phy_msa.161.fas', 117.494, 108.917, 1220.301, 963.626
'bali_phy_msa.162.fas', 118.333, 110.436, 1264.351, 1013.602
'bali_phy_msa.163.fas', 118.979, 110.958, 1108.589, 985.131
'bali_phy_msa.164.fas', 119.745, 111.83, 1247.189, 1018.491
'bali_phy_msa.165.fas', 117.592, 109.186, 1054.607, 969.406
'bali_phy_msa.166.fas', 119.023, 111.043, 1234.409, 999.226
'bali_phy_msa.167.fas', 119.739, 111.93, 1210.242, 1024.577
'bali_phy_msa.168.fas', 118.397, 110.218, 1205.264, 982.483
'bali_phy_msa.169.fas', 117.56, 109.155, 1016.326, 967.987
'bali_phy_msa.17.fas', 117.27, 108.736, 1168.572, 984.925
'bali_phy_msa.170.fas', 118.36, 110.578, 1223.641, 1003.887
'bali_phy_msa.171.fas', 119.649, 111.964, 1255.616, 1039.116
'bali_phy_msa.172.fas', 115.896, 107.24, 1107.082, 964.461
'bali_phy_msa.173.fas', 118.815, 110.651, 1208.376, 1017.625
'bali_phy_msa.174.fas', 120.035, 112.162, 1278.443, 1006.162
'bali_phy_msa.175.fas', 117.602, 108.995, 1167.418, 973.783
'bali_phy_msa.176.fas', 118.553, 110.124, 1120.414, 992.356
'bali_phy_msa.177.fas', 117.472, 108.925, 1216.659, 966.292
'bali_phy_msa.178.fas', 118.065, 109.883, 1147.872, 1015.898
'bali_phy_msa.179.fas', 116.287, 107.694, 1091.554, 936.43
'bali_phy_msa.18.fas', 118.653, 110.03, 1207.211, 984.155
'bali_phy_msa.180.fas', 116.918, 108.243, 1259.501, 978.679
