code_BLOSUM62_GO_-6_GE_-1,sp_HENIKOFF_with_gaps_BLOSUM62_GO_-6_GE_-1,sp_HENIKOFF_without_gaps_BLOSUM62_GO_-6_GE_-1,sp_CLUSTAL_WEIGHTS_mid_root_BLOSUM62_GO_-6_GE_-1,sp_CLUSTAL_WEIGHTS_diff_sum_BLOSUM62_GO_-6_GE_-1
'bali_phy_msa.1.fas', -71.999, -74.566, -60.865, -74.601
'bali_phy_msa.10.fas', 1.961, 7.631, -0.68, -0.446
'bali_phy_msa.100.fas', 1.939, 7.31, -1.655, -1.566
'bali_phy_msa.101.fas', 1.742, 7.317, 0.475, -1.029
'bali_phy_msa.102.fas', -2.619, 1.897, -3.093, -5.905
'bali_phy_msa.103.fas', 0.554, 5.687, -0.466, -2.627
'bali_phy_msa.104.fas', 2.678, 8.606, 1.21, -0.042
'bali_phy_msa.105.fas', 1.06, 6.125, 0.234, -1.657
'bali_phy_msa.106.fas', 1.488, 7.121, 2.889, -1.809
'bali_phy_msa.107.fas', 2.325, 7.611, -1.297, -0.245
'bali_phy_msa.108.fas', 1.292, 6.542, -0.383, -1.083
'bali_phy_msa.109.fas', 2.846, 8.449, -0.006, 0.177
'bali_phy_msa.11.fas', 1.31, 6.49, -1.817, -0.828
'bali_phy_msa.110.fas', 2.406, 7.784, 0.032, 0.172
'bali_phy_msa.111.fas', -0.332, 4.498, -1.687, -3.275
'bali_phy_msa.112.fas', 1.443, 6.577, 1.279, -1.628
'bali_phy_msa.113.fas', 0.809, 6.011, -0.176, -2.219
'bali_phy_msa.114.fas', 0.504, 5.849, -2.0, -2.179
'bali_phy_msa.115.fas', 2.656, 8.346, -1.57, 0.861
'bali_phy_msa.116.fas', 1.866, 7.264, -0.267, -1.553
'bali_phy_msa.117.fas', -1.245, 3.412, -2.289, -4.895
'bali_phy_msa.118.fas', 1.642, 7.017, -1.879, -0.944
'bali_phy_msa.119.fas', 1.458, 6.792, -0.434, -1.681
'bali_phy_msa.12.fas', 2.44, 7.988, -1.647, -0.744
'bali_phy_msa.120.fas', 0.259, 5.1, -1.24, -3.098
'bali_phy_msa.121.fas', 1.088, 6.052, -0.979, -2.508
'bali_phy_msa.122.fas', 2.805, 8.336, -1.44, 0.659
'bali_phy_msa.123.fas', 1.272, 6.512, -2.183, -0.28
'bali_phy_msa.124.fas', -0.31, 4.375, -2.768, -3.544
'bali_phy_msa.125.fas', 2.544, 7.87, 3.633, -0.872
'bali_phy_msa.126.fas', -0.071, 4.637, -0.894, -3.006
'bali_phy_msa.127.fas', 1.349, 6.513, -1.977, -0.47
'bali_phy_msa.128.fas', 2.436, 8.042, -1.154, -1.426
'bali_phy_msa.129.fas', 2.009, 7.345, -1.862, -0.327
'bali_phy_msa.13.fas', 2.074, 7.678, -0.532, 0.014
'bali_phy_msa.130.fas', 0.37, 5.586, -1.022, -2.52
'bali_phy_msa.131.fas', 1.146, 6.495, -1.208, -1.897
'bali_phy_msa.132.fas', 1.592, 6.758, 0.466, -1.287
'bali_phy_msa.133.fas', 1.534, 6.781, -0.549, -2.185
'bali_phy_msa.134.fas', 1.758, 7.229, 0.029, -0.906
'bali_phy_msa.135.fas', 2.371, 7.702, 0.811, -0.698
'bali_phy_msa.136.fas', 1.975, 7.501, -1.088, 0.041
'bali_phy_msa.137.fas', 1.855, 7.201, -0.76, -0.779
'bali_phy_msa.138.fas', 0.976, 6.097, -0.111, -1.611
'bali_phy_msa.139.fas', 0.34, 5.193, -1.6, -2.239
'bali_phy_msa.14.fas', 2.866, 8.714, -0.143, 0.974
'bali_phy_msa.140.fas', 1.553, 6.857, -1.71, -0.068
'bali_phy_msa.141.fas', 0.764, 5.696, 0.437, -2.419
'bali_phy_msa.142.fas', 3.749, 9.611, 0.563, 2.102
'bali_phy_msa.143.fas', 2.618, 8.3, 0.934, -0.327
'bali_phy_msa.144.fas', 0.567, 5.685, -1.678, -2.551
'bali_phy_msa.145.fas', -1.327, 3.043, -2.045, -4.423
'bali_phy_msa.146.fas', 2.313, 7.806, -1.669, -0.529
'bali_phy_msa.147.fas', 1.161, 6.353, 2.913, -1.638
'bali_phy_msa.148.fas', -0.216, 4.733, -1.687, -3.043
'bali_phy_msa.149.fas', 0.494, 5.695, -0.755, -1.884
'bali_phy_msa.15.fas', -0.108, 4.701, -2.559, -2.72
'bali_phy_msa.150.fas', -1.152, 3.668, -4.281, -4.034
'bali_phy_msa.151.fas', -3.307, 0.949, -2.607, -6.332
'bali_phy_msa.152.fas', 1.722, 6.968, 0.048, -1.415
'bali_phy_msa.153.fas', 1.13, 6.52, -3.167, -1.194
'bali_phy_msa.154.fas', 0.845, 5.936, -1.151, -1.952
'bali_phy_msa.155.fas', 1.505, 6.788, 1.025, -0.961
'bali_phy_msa.156.fas', 2.12, 7.465, 1.241, -0.548
'bali_phy_msa.157.fas', 0.123, 5.26, -1.724, -2.067
'bali_phy_msa.158.fas', -0.284, 4.755, -1.025, -3.267
'bali_phy_msa.159.fas', 1.172, 6.301, 0.214, -1.079
'bali_phy_msa.16.fas', 0.446, 5.378, -1.191, -2.66
'bali_phy_msa.160.fas', 2.771, 8.476, 1.174, -0.199
'bali_phy_msa.161.fas', 1.913, 7.474, 0.951, -0.57
'bali_phy_msa.162.fas', 2.66, 8.347, 2.282, -0.103
'bali_phy_msa.163.fas', 0.452, 5.367, -1.04, -2.613
'bali_phy_msa.164.fas', 0.899, 6.051, -0.382, -2.172
'bali_phy_msa.165.fas', 3.065, 8.672, -1.059, 0.456
'bali_phy_msa.166.fas', 0.505, 5.408, -0.844, -3.032
'bali_phy_msa.167.fas', -0.662, 3.956, -1.53, -3.479
'bali_phy_msa.168.fas', 0.019, 5.089, -1.528, -2.816
'bali_phy_msa.169.fas', -2.679, 1.851, -5.447, -5.351
'bali_phy_msa.17.fas', 0.119, 5.198, -3.261, -2.545
'bali_phy_msa.170.fas', 0.51, 5.627, -2.422, -3.263
'bali_phy_msa.171.fas', 2.533, 8.185, 1.237, -0.225
'bali_phy_msa.172.fas', 1.085, 6.452, -0.522, -2.193
'bali_phy_msa.173.fas', 1.138, 6.462, 0.244, -1.21
'bali_phy_msa.174.fas', 2.147, 7.743, -0.088, -1.513
'bali_phy_msa.175.fas', 0.527, 5.887, -4.068, -1.835
'bali_phy_msa.176.fas', 2.017, 7.388, 0.452, -0.957
'bali_phy_msa.177.fas', -0.937, 3.779, -3.798, -4.253
'bali_phy_msa.178.fas', 2.439, 7.97, -0.655, 0.315
'bali_phy_msa.179.fas', 2.765, 8.422, 1.915, 0.345
'bali_phy_msa.18.fas', 2.194, 7.614, -1.034, -0.017
'bali_phy_msa.180.fas', -0.526, 4.278, -3.268, -2.927
'bali_phy_msa.181.fas', 1.162, 6.398, -0.938, -1.938
'bali_phy_msa.182.fas', 1.087, 6.167, -0.358, -1.876
'bali_phy_msa.183.fas', 1.873, 7.555, -2.15, -0.7
'bali_phy_msa.184.fas', 2.764, 8.227, 0.33, -0.823
'bali_phy_msa.185.fas', -0.643, 4.313, -4.059, -3.348
'bali_phy_msa.186.fas', 1.419, 6.665, -1.21, -1.429
'bali_phy_msa.187.fas', 2.626, 8.014, -0.6, -0.377
'bali_phy_msa.188.fas', 1.039, 6.156, -0.401, -1.839
'bali_phy_msa.189.fas', 1.771, 7.147, -2.408, -0.553
'bali_phy_msa.19.fas', -0.198, 4.877, -1.121, -3.41
