code_PAM250_GO_-6_GE_-1,sp_HENIKOFF_with_gaps_PAM250_GO_-6_GE_-1,sp_HENIKOFF_without_gaps_PAM250_GO_-6_GE_-1,sp_CLUSTAL_WEIGHTS_mid_root_PAM250_GO_-6_GE_-1,sp_CLUSTAL_WEIGHTS_diff_sum_PAM250_GO_-6_GE_-1
'bali_phy_msa.1.fas', -59.141, -58.599, -91432.042, -94851.445
'bali_phy_msa.10.fas', 128.681, 119.577, 1301.517, 1098.692
'bali_phy_msa.100.fas', 125.097, 115.013, 1253.274, 1037.898
'bali_phy_msa.101.fas', 125.921, 115.934, 1308.506, 1055.938
'bali_phy_msa.102.fas', 126.771, 117.227, 1354.337, 1040.656
'bali_phy_msa.103.fas', 125.333, 115.607, 1262.476, 1029.052
'bali_phy_msa.104.fas', 127.455, 118.327, 1276.539, 1072.371
'bali_phy_msa.105.fas', 128.031, 118.724, 1350.235, 1094.741
'bali_phy_msa.106.fas', 124.219, 114.325, 1224.707, 1017.802
'bali_phy_msa.107.fas', 128.567, 119.073, 1228.488, 1070.589
'bali_phy_msa.108.fas', 127.065, 117.335, 1153.147, 1052.112
'bali_phy_msa.109.fas', 126.731, 117.255, 1163.345, 1048.616
'bali_phy_msa.11.fas', 129.498, 120.586, 1357.45, 1101.628
'bali_phy_msa.110.fas', 130.515, 121.529, 1464.849, 1132.143
'bali_phy_msa.111.fas', 124.566, 114.473, 1114.331, 1009.381
'bali_phy_msa.112.fas', 127.414, 117.873, 1224.605, 1040.872
'bali_phy_msa.113.fas', 129.162, 119.972, 1380.813, 1106.437
'bali_phy_msa.114.fas', 126.896, 117.14, 1246.396, 1063.36
'bali_phy_msa.115.fas', 126.292, 116.126, 1202.015, 1038.603
'bali_phy_msa.116.fas', 126.136, 116.259, 1239.788, 1064.384
'bali_phy_msa.117.fas', 127.092, 117.395, 1180.673, 1056.568
'bali_phy_msa.118.fas', 125.527, 115.546, 1221.506, 1032.774
'bali_phy_msa.119.fas', 128.074, 118.604, 1277.213, 1090.198
'bali_phy_msa.12.fas', 126.662, 117.221, 1248.043, 1050.032
'bali_phy_msa.120.fas', 127.243, 117.597, 1232.59, 1058.064
'bali_phy_msa.121.fas', 127.478, 117.803, 1323.781, 1088.988
'bali_phy_msa.122.fas', 126.267, 116.315, 1206.342, 1017.096
'bali_phy_msa.123.fas', 126.966, 117.164, 1090.529, 1033.506
'bali_phy_msa.124.fas', 127.472, 118.045, 1344.775, 1030.597
'bali_phy_msa.125.fas', 127.231, 117.602, 1327.177, 1046.658
'bali_phy_msa.126.fas', 129.256, 120.186, 1278.342, 1119.942
'bali_phy_msa.127.fas', 130.406, 121.902, 1406.35, 1144.666
'bali_phy_msa.128.fas', 125.916, 115.816, 1281.394, 1049.561
'bali_phy_msa.129.fas', 129.38, 120.192, 1388.067, 1119.829
'bali_phy_msa.13.fas', 127.212, 117.626, 1237.071, 1038.152
'bali_phy_msa.130.fas', 127.233, 117.403, 1301.002, 1049.294
'bali_phy_msa.131.fas', 125.369, 115.299, 1130.922, 1026.634
'bali_phy_msa.132.fas', 128.903, 120.006, 1309.338, 1097.715
'bali_phy_msa.133.fas', 126.25, 116.537, 1251.364, 1046.444
'bali_phy_msa.134.fas', 127.928, 118.619, 1395.602, 1091.184
'bali_phy_msa.135.fas', 126.119, 116.339, 1276.401, 1054.516
'bali_phy_msa.136.fas', 128.513, 118.928, 1306.819, 1097.18
'bali_phy_msa.137.fas', 126.552, 116.835, 1183.265, 1057.548
'bali_phy_msa.138.fas', 127.259, 117.743, 1263.431, 1060.76
'bali_phy_msa.139.fas', 130.06, 121.121, 1289.602, 1097.166
'bali_phy_msa.14.fas', 127.781, 118.244, 1374.797, 1072.356
'bali_phy_msa.140.fas', 127.464, 118.17, 1300.791, 1066.301
'bali_phy_msa.141.fas', 128.185, 118.907, 1369.832, 1090.095
'bali_phy_msa.142.fas', 129.094, 119.91, 1276.027, 1097.471
'bali_phy_msa.143.fas', 127.774, 118.296, 1410.752, 1077.112
'bali_phy_msa.144.fas', 126.135, 116.442, 1184.612, 1058.965
'bali_phy_msa.145.fas', 125.908, 116.134, 1231.671, 1042.426
'bali_phy_msa.146.fas', 127.524, 118.145, 1278.281, 1063.839
'bali_phy_msa.147.fas', 127.527, 118.351, 1348.137, 1074.592
'bali_phy_msa.148.fas', 124.614, 114.617, 1202.372, 1023.708
'bali_phy_msa.149.fas', 126.991, 117.154, 1310.329, 1052.363
'bali_phy_msa.15.fas', 126.527, 116.413, 1168.093, 1020.116
'bali_phy_msa.150.fas', 129.545, 120.754, 1331.069, 1108.198
'bali_phy_msa.151.fas', 129.159, 120.229, 1456.106, 1108.983
'bali_phy_msa.152.fas', 127.188, 118.072, 1351.651, 1073.895
'bali_phy_msa.153.fas', 128.142, 118.945, 1307.799, 1084.458
'bali_phy_msa.154.fas', 126.3, 116.475, 1273.179, 1042.369
'bali_phy_msa.155.fas', 125.325, 115.068, 1169.115, 1029.788
'bali_phy_msa.156.fas', 127.097, 117.536, 1286.074, 1066.637
'bali_phy_msa.157.fas', 124.229, 114.088, 1104.202, 1016.568
'bali_phy_msa.158.fas', 127.654, 117.877, 1283.191, 1065.583
'bali_phy_msa.159.fas', 128.883, 119.283, 1275.013, 1091.623
'bali_phy_msa.16.fas', 126.356, 116.563, 1257.356, 1030.325
'bali_phy_msa.160.fas', 124.707, 115.186, 1191.551, 1037.506
'bali_phy_msa.161.fas', 126.102, 116.046, 1302.016, 1026.309
'bali_phy_msa.162.fas', 127.599, 118.606, 1357.998, 1086.223
'bali_phy_msa.163.fas', 126.647, 117.004, 1170.959, 1038.462
'bali_phy_msa.164.fas', 128.48, 119.241, 1330.944, 1084.3
'bali_phy_msa.165.fas', 125.771, 115.799, 1119.19, 1027.081
'bali_phy_msa.166.fas', 126.975, 117.441, 1307.287, 1055.896
'bali_phy_msa.167.fas', 128.704, 119.61, 1292.903, 1092.081
'bali_phy_msa.168.fas', 126.595, 116.899, 1279.924, 1040.832
'bali_phy_msa.169.fas', 125.173, 115.156, 1072.812, 1020.78
'bali_phy_msa.17.fas', 126.538, 116.714, 1252.726, 1053.953
'bali_phy_msa.170.fas', 127.854, 118.802, 1314.935, 1076.738
'bali_phy_msa.171.fas', 128.06, 119.08, 1336.207, 1102.944
'bali_phy_msa.172.fas', 124.053, 113.902, 1177.641, 1023.679
'bali_phy_msa.173.fas', 128.295, 118.914, 1298.166, 1091.503
'bali_phy_msa.174.fas', 128.195, 118.789, 1356.891, 1064.833
'bali_phy_msa.175.fas', 126.094, 116.164, 1244.258, 1035.749
