code_PAM250_GO_-10_GE_-1,sp_HENIKOFF_with_gaps_PAM250_GO_-10_GE_-1,sp_HENIKOFF_without_gaps_PAM250_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_mid_root_PAM250_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_diff_sum_PAM250_GO_-10_GE_-1
'bali_phy_msa.175.fas', 108.77, 97.899, 1058.52, 869.561
'bali_phy_msa.176.fas', 109.665, 98.941, 1012.778, 886.835
'bali_phy_msa.177.fas', 108.259, 97.303, 1102.381, 859.179
'bali_phy_msa.178.fas', 109.462, 99.088, 1042.298, 911.741
'bali_phy_msa.179.fas', 106.734, 95.651, 977.574, 826.66
'bali_phy_msa.18.fas', 109.586, 98.537, 1095.627, 878.174
'bali_phy_msa.180.fas', 107.054, 95.895, 1135.222, 862.428
'bali_phy_msa.181.fas', 108.419, 97.89, 1076.883, 887.667
'bali_phy_msa.182.fas', 109.47, 98.983, 1099.169, 881.897
'bali_phy_msa.183.fas', 109.904, 99.548, 1120.602, 890.346
'bali_phy_msa.184.fas', 110.421, 100.258, 1187.102, 911.328
'bali_phy_msa.185.fas', 108.263, 97.582, 1075.837, 858.182
'bali_phy_msa.186.fas', 110.14, 99.692, 1035.169, 908.903
'bali_phy_msa.187.fas', 108.353, 97.287, 1059.375, 855.218
'bali_phy_msa.188.fas', 108.331, 97.585, 1056.949, 854.847
'bali_phy_msa.189.fas', 107.231, 96.566, 1108.439, 864.264
'bali_phy_msa.19.fas', 109.86, 99.39, 1191.984, 897.425
'bali_phy_msa.190.fas', 109.641, 99.195, 1057.223, 905.014
'bali_phy_msa.191.fas', 109.088, 99.09, 1142.501, 909.315
'bali_phy_msa.192.fas', 107.944, 97.432, 992.16, 866.196
'bali_phy_msa.193.fas', 111.132, 101.234, 1151.257, 923.792
'bali_phy_msa.194.fas', 104.129, 93.147, 1008.101, 814.684
'bali_phy_msa.195.fas', 109.54, 99.092, 1010.467, 892.42
'bali_phy_msa.196.fas', 112.706, 103.401, 1097.45, 956.183
'bali_phy_msa.197.fas', 109.797, 99.469, 1100.176, 880.5
'bali_phy_msa.198.fas', 108.989, 98.226, 1160.617, 876.572
'bali_phy_msa.199.fas', 109.897, 100.017, 1126.203, 897.246
'bali_phy_msa.2.fas', 104.279, 92.19, 986.239, 765.544
'bali_phy_msa.20.fas', 111.669, 101.683, 1107.384, 930.536
'bali_phy_msa.200.fas', 109.522, 98.97, 1040.185, 898.545
'bali_phy_msa.201.fas', 109.461, 99.214, 1114.058, 888.533
'bali_phy_msa.202.fas', 110.186, 99.655, 1153.606, 895.585
'bali_phy_msa.203.fas', 108.292, 97.479, 947.341, 867.158
'bali_phy_msa.204.fas', 107.502, 96.737, 978.523, 861.025
'bali_phy_msa.205.fas', 107.746, 96.852, 1061.174, 861.531
'bali_phy_msa.206.fas', 110.336, 99.899, 1113.06, 912.15
'bali_phy_msa.207.fas', 110.148, 99.764, 1026.561, 899.409
'bali_phy_msa.208.fas', 111.867, 101.65, 1148.877, 928.565
'bali_phy_msa.209.fas', 108.984, 98.501, 1034.659, 889.627
'bali_phy_msa.21.fas', 108.05, 97.04, 1085.944, 872.147
'bali_phy_msa.210.fas', 110.983, 100.748, 1139.516, 913.023
'bali_phy_msa.211.fas', 113.214, 103.656, 1208.323, 957.593
'bali_phy_msa.212.fas', 110.557, 100.258, 1122.977, 917.143
'bali_phy_msa.213.fas', 108.328, 98.053, 1155.492, 889.226
'bali_phy_msa.214.fas', 110.442, 99.926, 1172.528, 913.017
'bali_phy_msa.215.fas', 107.342, 96.181, 1021.305, 837.297
'bali_phy_msa.216.fas', 111.222, 101.17, 1106.044, 908.817
'bali_phy_msa.217.fas', 109.859, 99.067, 1062.966, 882.28
'bali_phy_msa.218.fas', 108.082, 97.648, 1118.883, 884.048
'bali_phy_msa.219.fas', 111.701, 101.733, 1141.539, 923.236
'bali_phy_msa.22.fas', 108.112, 97.484, 1130.866, 852.688
'bali_phy_msa.220.fas', 108.406, 97.6, 1070.785, 874.702
'bali_phy_msa.221.fas', 107.208, 95.979, 1016.422, 849.551
'bali_phy_msa.222.fas', 111.296, 101.418, 1147.063, 924.422
'bali_phy_msa.223.fas', 108.613, 98.05, 1099.768, 881.219
'bali_phy_msa.224.fas', 111.529, 101.526, 1089.877, 913.779
'bali_phy_msa.225.fas', 111.062, 101.057, 1137.262, 925.166
