code_PAM250_GO_-6_GE_-1,sp_HENIKOFF_with_gaps_PAM250_GO_-6_GE_-1,sp_HENIKOFF_without_gaps_PAM250_GO_-6_GE_-1,sp_CLUSTAL_WEIGHTS_mid_root_PAM250_GO_-6_GE_-1,sp_CLUSTAL_WEIGHTS_diff_sum_PAM250_GO_-6_GE_-1
'bali_phy_msa.1.fas', -66.083, -68.045, -55.853, -68.147
'bali_phy_msa.10.fas', 2.27, 7.946, -0.805, -0.368
'bali_phy_msa.100.fas', 2.524, 7.92, -1.429, -1.291
'bali_phy_msa.101.fas', 2.026, 7.561, 0.364, -1.138
'bali_phy_msa.102.fas', -1.936, 2.638, -3.034, -5.511
'bali_phy_msa.103.fas', 1.169, 6.371, -0.502, -2.345
'bali_phy_msa.104.fas', 3.119, 9.106, 1.195, 0.073
'bali_phy_msa.105.fas', 1.338, 6.439, 0.236, -1.709
'bali_phy_msa.106.fas', 2.09, 7.792, 2.902, -1.525
'bali_phy_msa.107.fas', 2.661, 7.891, -1.344, -0.197
'bali_phy_msa.108.fas', 2.018, 7.303, -0.114, -0.565
'bali_phy_msa.109.fas', 3.367, 8.985, 0.04, 0.386
'bali_phy_msa.11.fas', 2.044, 7.252, -1.403, -0.651
'bali_phy_msa.110.fas', 2.861, 8.212, 0.025, 0.235
'bali_phy_msa.111.fas', 0.031, 4.959, -1.872, -3.065
'bali_phy_msa.112.fas', 1.824, 6.962, 0.936, -1.551
'bali_phy_msa.113.fas', 1.345, 6.623, -0.138, -2.014
'bali_phy_msa.114.fas', 1.015, 6.424, -1.881, -1.967
'bali_phy_msa.115.fas', 3.332, 9.098, -1.3, 1.196
'bali_phy_msa.116.fas', 2.367, 7.775, -0.293, -1.342
'bali_phy_msa.117.fas', -1.144, 3.429, -2.576, -5.139
'bali_phy_msa.118.fas', 2.196, 7.629, -1.894, -0.681
'bali_phy_msa.119.fas', 1.812, 7.155, -0.557, -1.672
'bali_phy_msa.12.fas', 3.33, 8.982, -1.353, -0.206
'bali_phy_msa.120.fas', 0.832, 5.762, -1.235, -2.796
'bali_phy_msa.121.fas', 1.749, 6.74, -0.807, -2.267
'bali_phy_msa.122.fas', 3.183, 8.733, -1.369, 0.706
'bali_phy_msa.123.fas', 1.886, 7.13, -1.945, -0.04
'bali_phy_msa.124.fas', -0.053, 4.612, -2.934, -3.61
'bali_phy_msa.125.fas', 3.277, 8.685, 3.9, -0.488
'bali_phy_msa.126.fas', 0.373, 5.067, -0.876, -2.961
'bali_phy_msa.127.fas', 2.209, 7.391, -1.386, -0.006
'bali_phy_msa.128.fas', 3.12, 8.764, -0.858, -1.154
'bali_phy_msa.129.fas', 2.47, 7.746, -1.602, -0.198
'bali_phy_msa.13.fas', 2.716, 8.417, -0.393, 0.477
'bali_phy_msa.130.fas', 0.874, 6.125, -0.979, -2.267
'bali_phy_msa.131.fas', 1.643, 7.012, -1.164, -1.683
'bali_phy_msa.132.fas', 1.934, 7.099, 0.174, -1.297
'bali_phy_msa.133.fas', 2.23, 7.498, -0.43, -1.893
'bali_phy_msa.134.fas', 2.111, 7.62, -0.099, -0.854
'bali_phy_msa.135.fas', 2.889, 8.253, 0.863, -0.553
'bali_phy_msa.136.fas', 2.378, 7.849, -1.108, 0.136
'bali_phy_msa.137.fas', 2.62, 7.947, -0.501, -0.421
'bali_phy_msa.138.fas', 1.434, 6.631, -0.018, -1.453
'bali_phy_msa.139.fas', 1.171, 6.174, -1.351, -1.672
'bali_phy_msa.14.fas', 3.731, 9.662, 0.21, 1.397
'bali_phy_msa.140.fas', 1.824, 7.137, -1.679, -0.123
'bali_phy_msa.141.fas', 0.931, 5.875, 0.239, -2.44
'bali_phy_msa.142.fas', 4.289, 10.192, 0.737, 2.088
'bali_phy_msa.143.fas', 3.47, 9.23, 1.173, 0.19
'bali_phy_msa.144.fas', 1.224, 6.434, -1.548, -2.06
'bali_phy_msa.145.fas', -0.807, 3.631, -2.095, -4.217
'bali_phy_msa.146.fas', 2.542, 8.073, -2.043, -0.577
'bali_phy_msa.147.fas', 1.908, 7.199, 3.145, -1.185
'bali_phy_msa.148.fas', 0.416, 5.493, -1.638, -2.77
'bali_phy_msa.149.fas', 0.867, 6.064, -0.824, -1.813
'bali_phy_msa.15.fas', 0.617, 5.464, -2.248, -2.198
'bali_phy_msa.150.fas', -0.857, 3.914, -4.137, -4.196
'bali_phy_msa.151.fas', -4.257, -0.335, -3.715, -7.806
'bali_phy_msa.152.fas', 2.407, 7.707, 0.201, -1.069
'bali_phy_msa.153.fas', 1.851, 7.308, -2.843, -0.869
'bali_phy_msa.154.fas', 1.266, 6.455, -1.258, -1.685
'bali_phy_msa.155.fas', 1.668, 6.817, 0.75, -1.235
'bali_phy_msa.156.fas', 2.471, 7.867, 1.016, -0.529
'bali_phy_msa.157.fas', 0.435, 5.618, -1.832, -1.934
'bali_phy_msa.158.fas', 0.019, 5.123, -1.223, -3.21
'bali_phy_msa.159.fas', 1.586, 6.71, 0.134, -1.1
'bali_phy_msa.16.fas', 0.85, 5.812, -1.309, -2.573
'bali_phy_msa.160.fas', 3.066, 8.799, 0.899, -0.223
'bali_phy_msa.161.fas', 2.554, 8.16, 1.132, -0.257
'bali_phy_msa.162.fas', 3.498, 9.312, 2.437, 0.392
'bali_phy_msa.163.fas', 0.886, 5.811, -1.081, -2.594
'bali_phy_msa.164.fas', 1.3, 6.505, -0.444, -2.097
'bali_phy_msa.165.fas', 3.584, 9.201, -0.881, 0.537
'bali_phy_msa.166.fas', 0.554, 5.372, -1.238, -3.367
'bali_phy_msa.167.fas', -0.235, 4.383, -1.589, -3.455
'bali_phy_msa.168.fas', 0.672, 5.839, -1.309, -2.367
'bali_phy_msa.169.fas', -3.504, 0.803, -6.412, -6.471
'bali_phy_msa.17.fas', 0.13, 5.092, -3.37, -3.026
'bali_phy_msa.170.fas', 0.852, 6.021, -2.498, -3.145
'bali_phy_msa.171.fas', 3.022, 8.735, 1.241, -0.085
'bali_phy_msa.172.fas', 1.758, 7.211, -0.319, -1.844
'bali_phy_msa.173.fas', 1.539, 6.913, 0.219, -1.11
'bali_phy_msa.174.fas', 2.586, 8.208, -0.126, -1.448
'bali_phy_msa.175.fas', 1.161, 6.571, -3.733, -1.479
'bali_phy_msa.176.fas', 2.323, 7.714, 0.181, -0.89
'bali_phy_msa.177.fas', -0.324, 4.542, -3.703, -3.868
'bali_phy_msa.178.fas', 2.89, 8.433, -0.659, 0.454
'bali_phy_msa.179.fas', 3.423, 9.115, 1.973, 0.8
'bali_phy_msa.18.fas', 3.014, 8.464, -0.707, 0.551
'bali_phy_msa.180.fas', -0.306, 4.554, -3.436, -3.122
'bali_phy_msa.181.fas', 1.531, 6.787, -0.981, -1.952
'bali_phy_msa.182.fas', 1.836, 6.983, -0.199, -1.485
'bali_phy_msa.183.fas', 2.406, 8.102, -2.087, -0.495
'bali_phy_msa.184.fas', 3.33, 8.833, 0.388, -0.684
'bali_phy_msa.185.fas', -0.282, 4.756, -4.021, -3.168
'bali_phy_msa.186.fas', 1.995, 7.259, -1.101, -1.179
'bali_phy_msa.187.fas', 3.038, 8.442, -0.564, -0.291
'bali_phy_msa.188.fas', 1.574, 6.772, -0.465, -1.616
'bali_phy_msa.189.fas', 2.477, 7.96, -2.07, -0.078
'bali_phy_msa.19.fas', 0.101, 5.196, -1.37, -3.38
'bali_phy_msa.190.fas', 0.72, 5.743, -3.099, -1.602
'bali_phy_msa.191.fas', -0.734, 3.954, -4.232, -4.793
'bali_phy_msa.192.fas', 2.584, 8.322, 0.384, -0.729
'bali_phy_msa.193.fas', 1.8, 7.139, -3.319, -2.168
'bali_phy_msa.194.fas', 1.941, 7.199, -0.397, -1.345
'bali_phy_msa.195.fas', 2.31, 7.776, 0.35, 0.386
'bali_phy_msa.196.fas', 1.694, 7.227, -1.34, -1.121
'bali_phy_msa.197.fas', 2.682, 8.315, 0.403, -0.805
'bali_phy_msa.198.fas', 3.275, 8.678, 1.258, -0.253
'bali_phy_msa.199.fas', -0.866, 3.701, -1.503, -4.341
'bali_phy_msa.2.fas', -0.636, 3.952, -1.093, -3.519
'bali_phy_msa.20.fas', 0.814, 5.744, -0.443, -2.185
'bali_phy_msa.200.fas', 0.629, 5.975, -0.212, -2.31
'bali_phy_msa.201.fas', 2.045, 7.502, 0.634, -1.053
'bali_phy_msa.202.fas', 0.23, 5.161, 1.404, -3.924
'bali_phy_msa.203.fas', 2.815, 8.267, 0.981, -0.307
'bali_phy_msa.204.fas', -0.228, 4.652, -4.336, -3.482
'bali_phy_msa.205.fas', 1.283, 6.535, -0.946, -0.954
'bali_phy_msa.206.fas', 0.778, 5.566, 0.609, -2.931
'bali_phy_msa.207.fas', -4.788, -0.736, -5.72, -8.017
'bali_phy_msa.208.fas', -6.788, -3.182, -8.603, -10.778
'bali_phy_msa.209.fas', 1.056, 6.124, -0.315, -2.25
'bali_phy_msa.21.fas', 2.781, 8.206, 1.556, 0.125
'bali_phy_msa.210.fas', 2.352, 7.363, 0.553, -1.356
'bali_phy_msa.211.fas', -0.286, 4.256, -1.366, -3.969
'bali_phy_msa.212.fas', 2.159, 7.485, -1.884, 0.591
'bali_phy_msa.213.fas', 1.777, 6.896, -0.585, -2.077
'bali_phy_msa.214.fas', 2.223, 7.629, 0.672, -1.069
'bali_phy_msa.215.fas', 0.229, 5.072, -1.996, -3.084
'bali_phy_msa.216.fas', -0.112, 4.709, -2.037, -4.356
'bali_phy_msa.217.fas', 4.244, 10.12, 0.01, 0.798
'bali_phy_msa.218.fas', 2.034, 7.316, -1.29, -0.553
'bali_phy_msa.219.fas', 0.892, 6.154, -1.466, -2.002
'bali_phy_msa.22.fas', 3.358, 8.937, 0.484, 0.034
'bali_phy_msa.220.fas', 1.421, 6.592, -1.725, -1.151
'bali_phy_msa.221.fas', 2.466, 7.916, 0.889, -0.285
'bali_phy_msa.222.fas', 2.527, 7.944, 0.97, -0.265
'bali_phy_msa.223.fas', 0.124, 5.21, -1.689, -3.002
'bali_phy_msa.224.fas', 1.383, 6.387, -0.431, -2.022
'bali_phy_msa.225.fas', -0.52, 4.196, -2.52, -4.289
'bali_phy_msa.226.fas', 2.278, 7.697, -0.046, -1.118
'bali_phy_msa.227.fas', -1.636, 2.975, -2.972, -5.08
'bali_phy_msa.228.fas', 0.769, 5.959, -1.154, -2.318
'bali_phy_msa.229.fas', 1.857, 7.092, 0.055, -0.912
'bali_phy_msa.23.fas', 1.904, 7.247, -0.22, -0.599
'bali_phy_msa.230.fas', 2.415, 7.867, 0.684, -0.851
'bali_phy_msa.231.fas', 1.433, 6.691, -1.194, -1.422
'bali_phy_msa.232.fas', 1.159, 6.253, -2.51, -2.267
'bali_phy_msa.233.fas', 1.753, 7.038, 2.424, -4.185
'bali_phy_msa.234.fas', 2.009, 7.384, -1.526, -1.437
'bali_phy_msa.235.fas', 2.375, 7.832, -1.116, -1.262
'bali_phy_msa.236.fas', 1.521, 6.653, -2.138, -1.88
'bali_phy_msa.237.fas', 1.906, 7.057, -2.886, -1.256
'bali_phy_msa.238.fas', 2.075, 7.464, -2.691, -1.012
'bali_phy_msa.239.fas', 1.566, 6.766, -0.443, -0.962
'bali_phy_msa.24.fas', 3.049, 8.72, 1.141, 0.009
'bali_phy_msa.240.fas', 2.499, 7.793, 0.686, -0.86
'bali_phy_msa.241.fas', 1.013, 6.02, 2.544, -3.239
'bali_phy_msa.242.fas', 1.113, 6.173, -1.745, -2.198
'bali_phy_msa.243.fas', 2.646, 8.292, 0.112, -1.181
'bali_phy_msa.244.fas', 2.408, 7.582, 1.023, -1.189
'bali_phy_msa.245.fas', 3.222, 9.002, -0.482, 0.242
'bali_phy_msa.246.fas', 3.598, 9.168, 1.285, 0.169
'bali_phy_msa.247.fas', 0.247, 5.057, -1.702, -2.013
'bali_phy_msa.248.fas', 3.622, 9.442, 0.716, 1.382
'bali_phy_msa.249.fas', 2.463, 7.941, -0.431, -0.618
'bali_phy_msa.25.fas', 3.115, 8.841, 1.166, -0.002
'bali_phy_msa.250.fas', 0.162, 4.958, -1.62, -3.657
'bali_phy_msa.251.fas', 2.597, 8.059, -2.543, -1.363
'bali_phy_msa.252.fas', 2.395, 7.751, 0.787, -0.606
'bali_phy_msa.253.fas', 0.978, 6.267, -1.207, -2.75
'bali_phy_msa.254.fas', -2.65, 1.564, -6.066, -5.952
'bali_phy_msa.255.fas', -3.268, 1.386, -4.698, -6.362
'bali_phy_msa.256.fas', 1.07, 6.106, -0.444, -2.555
'bali_phy_msa.257.fas', 0.893, 6.132, 0.93, -2.729
'bali_phy_msa.258.fas', 0.786, 5.855, -0.524, -2.747
'bali_phy_msa.259.fas', 0.022, 5.084, -1.617, -2.954
'bali_phy_msa.26.fas', 2.462, 7.744, 0.949, -0.817
'bali_phy_msa.260.fas', 2.35, 7.863, -1.949, 0.011
'bali_phy_msa.261.fas', 2.0, 7.017, -0.031, -1.912
'bali_phy_msa.262.fas', 2.148, 7.416, -1.273, -1.695
'bali_phy_msa.263.fas', 2.145, 7.77, -1.464, -1.675
'bali_phy_msa.264.fas', 2.134, 7.554, -0.525, -1.06
'bali_phy_msa.265.fas', 2.079, 7.691, -1.392, -1.018
'bali_phy_msa.266.fas', 2.803, 8.357, 1.255, -0.296
'bali_phy_msa.267.fas', 3.401, 9.358, 1.573, 0.623
'bali_phy_msa.268.fas', 0.488, 5.522, -3.626, -2.389
'bali_phy_msa.269.fas', 2.719, 8.289, -0.906, -0.885
'bali_phy_msa.27.fas', 2.69, 8.176, 0.169, -0.353
'bali_phy_msa.270.fas', -1.196, 3.479, -3.714, -5.612
'bali_phy_msa.271.fas', -8.645, -5.507, -8.727, -12.077
'bali_phy_msa.272.fas', 1.384, 6.707, -0.47, -0.637
'bali_phy_msa.273.fas', 1.388, 6.803, -0.822, -1.703
'bali_phy_msa.274.fas', 1.543, 6.533, -0.017, -1.993
'bali_phy_msa.275.fas', 3.082, 8.594, -0.131, -0.043
'bali_phy_msa.276.fas', 3.241, 8.695, 0.651, -0.304
'bali_phy_msa.277.fas', -1.043, 3.462, -2.603, -4.161
'bali_phy_msa.278.fas', 1.874, 7.442, -0.437, -0.082
'bali_phy_msa.279.fas', 0.865, 5.923, -0.891, -1.702
'bali_phy_msa.28.fas', 2.766, 8.095, 0.995, -0.565
'bali_phy_msa.280.fas', 1.101, 6.289, 2.232, -2.582
