code_BLOSUM62_GO_-6_GE_-0.5,sp_HENIKOFF_with_gaps_BLOSUM62_GO_-6_GE_-0.5,sp_HENIKOFF_without_gaps_BLOSUM62_GO_-6_GE_-0.5,sp_CLUSTAL_WEIGHTS_mid_root_BLOSUM62_GO_-6_GE_-0.5,sp_CLUSTAL_WEIGHTS_diff_sum_BLOSUM62_GO_-6_GE_-0.5
'bali_phy_msa.1.fas', -51.056, -53.734, -44.157, -52.536
'bali_phy_msa.10.fas', 33.595, 42.371, 27.835, 34.583
'bali_phy_msa.100.fas', 33.876, 42.43, 26.949, 34.009
'bali_phy_msa.101.fas', 33.414, 42.142, 28.771, 34.428
'bali_phy_msa.102.fas', 29.866, 37.749, 26.162, 30.375
'bali_phy_msa.103.fas', 32.471, 40.883, 28.266, 33.107
'bali_phy_msa.104.fas', 34.185, 43.241, 29.414, 35.134
'bali_phy_msa.105.fas', 33.088, 41.432, 28.845, 34.003
'bali_phy_msa.106.fas', 33.005, 41.867, 31.154, 33.439
'bali_phy_msa.107.fas', 34.044, 42.521, 27.543, 34.929
'bali_phy_msa.108.fas', 32.864, 41.244, 28.135, 33.945
'bali_phy_msa.109.fas', 34.561, 43.369, 28.671, 35.475
'bali_phy_msa.11.fas', 33.128, 41.498, 27.204, 34.392
'bali_phy_msa.110.fas', 34.154, 42.758, 28.725, 35.517
'bali_phy_msa.111.fas', 31.55, 39.599, 27.453, 32.018
'bali_phy_msa.112.fas', 33.072, 41.359, 29.987, 33.546
'bali_phy_msa.113.fas', 32.552, 40.977, 28.252, 33.136
'bali_phy_msa.114.fas', 32.685, 41.235, 26.771, 33.543
'bali_phy_msa.115.fas', 34.055, 42.805, 26.982, 35.514
'bali_phy_msa.116.fas', 33.911, 42.507, 28.815, 34.181
'bali_phy_msa.117.fas', 30.686, 38.538, 26.375, 30.786
'bali_phy_msa.118.fas', 33.361, 41.859, 26.833, 34.239
'bali_phy_msa.119.fas', 33.443, 41.975, 28.483, 34.13
'bali_phy_msa.12.fas', 34.149, 42.888, 27.234, 34.614
'bali_phy_msa.120.fas', 32.566, 40.734, 28.127, 33.149
'bali_phy_msa.121.fas', 33.078, 41.334, 27.869, 33.302
'bali_phy_msa.122.fas', 34.394, 43.037, 27.235, 35.606
'bali_phy_msa.123.fas', 32.817, 41.17, 26.263, 34.479
'bali_phy_msa.124.fas', 32.009, 40.032, 26.751, 32.294
'bali_phy_msa.125.fas', 33.896, 42.299, 31.81, 34.165
'bali_phy_msa.126.fas', 31.769, 39.813, 27.896, 32.573
'bali_phy_msa.127.fas', 32.959, 41.242, 26.719, 34.4
'bali_phy_msa.128.fas', 34.191, 43.02, 27.64, 34.042
'bali_phy_msa.129.fas', 33.752, 42.274, 26.973, 34.707
'bali_phy_msa.13.fas', 33.891, 42.606, 28.258, 35.061
'bali_phy_msa.130.fas', 32.285, 40.671, 28.175, 33.086
'bali_phy_msa.131.fas', 32.939, 41.42, 27.485, 33.658
'bali_phy_msa.132.fas', 33.382, 41.727, 29.083, 34.175
'bali_phy_msa.133.fas', 33.273, 41.691, 28.026, 33.22
'bali_phy_msa.134.fas', 33.526, 42.218, 28.707, 34.408
'bali_phy_msa.135.fas', 33.875, 42.333, 29.149, 34.482
'bali_phy_msa.136.fas', 33.632, 42.318, 27.535, 35.078
'bali_phy_msa.137.fas', 33.638, 42.182, 27.945, 34.745
'bali_phy_msa.138.fas', 32.98, 41.407, 28.582, 33.895
'bali_phy_msa.139.fas', 32.328, 40.382, 27.408, 33.401
'bali_phy_msa.14.fas', 34.412, 43.352, 27.956, 35.912
'bali_phy_msa.140.fas', 33.153, 41.577, 27.021, 34.844
'bali_phy_msa.141.fas', 32.751, 40.931, 29.6, 33.143
'bali_phy_msa.142.fas', 35.233, 44.172, 28.815, 36.961
'bali_phy_msa.143.fas', 34.095, 42.958, 29.379, 34.868
'bali_phy_msa.144.fas', 32.425, 40.722, 27.241, 32.774
'bali_phy_msa.145.fas', 30.632, 38.229, 26.969, 31.279
'bali_phy_msa.146.fas', 34.058, 42.671, 27.365, 34.72
'bali_phy_msa.147.fas', 32.899, 41.283, 31.298, 33.895
'bali_phy_msa.148.fas', 31.885, 40.082, 27.581, 32.797
'bali_phy_msa.149.fas', 32.384, 40.799, 27.987, 33.587
'bali_phy_msa.15.fas', 32.175, 40.463, 26.965, 33.023
'bali_phy_msa.150.fas', 30.955, 39.05, 24.815, 31.674
'bali_phy_msa.151.fas', 29.012, 36.511, 26.139, 29.816
'bali_phy_msa.152.fas', 33.533, 41.988, 28.676, 34.162
'bali_phy_msa.153.fas', 32.98, 41.589, 25.955, 34.212
'bali_phy_msa.154.fas', 32.6, 40.791, 27.793, 33.16
'bali_phy_msa.155.fas', 33.227, 41.691, 29.362, 34.415
'bali_phy_msa.156.fas', 33.843, 42.378, 29.808, 35.034
'bali_phy_msa.157.fas', 32.163, 40.475, 27.406, 33.381
'bali_phy_msa.158.fas', 31.743, 40.141, 28.162, 32.289
'bali_phy_msa.159.fas', 33.074, 41.451, 28.714, 34.468
'bali_phy_msa.16.fas', 32.397, 40.591, 27.776, 32.925
'bali_phy_msa.160.fas', 34.427, 43.285, 29.74, 35.304
'bali_phy_msa.161.fas', 33.606, 42.319, 29.287, 34.883
'bali_phy_msa.162.fas', 34.194, 42.967, 30.381, 35.059
'bali_phy_msa.163.fas', 32.357, 40.566, 27.745, 32.961
'bali_phy_msa.164.fas', 32.564, 40.91, 28.177, 33.251
'bali_phy_msa.165.fas', 34.756, 43.535, 27.459, 35.704
'bali_phy_msa.166.fas', 32.426, 40.612, 28.073, 32.694
'bali_phy_msa.167.fas', 31.28, 39.172, 27.172, 32.245
'bali_phy_msa.168.fas', 31.955, 40.289, 27.547, 32.542
'bali_phy_msa.169.fas', 29.659, 37.492, 24.462, 30.485
'bali_phy_msa.17.fas', 32.587, 41.049, 26.568, 33.421
'bali_phy_msa.170.fas', 32.303, 40.59, 26.563, 31.992
'bali_phy_msa.171.fas', 33.977, 42.71, 29.325, 34.884
'bali_phy_msa.172.fas', 32.734, 41.251, 28.052, 33.031
'bali_phy_msa.173.fas', 32.908, 41.374, 28.715, 34.247
'bali_phy_msa.174.fas', 33.887, 42.696, 28.309, 33.928
'bali_phy_msa.175.fas', 32.373, 40.848, 24.913, 33.311
'bali_phy_msa.176.fas', 33.708, 42.25, 29.077, 34.294
'bali_phy_msa.177.fas', 31.238, 39.204, 25.58, 31.556
'bali_phy_msa.178.fas', 33.927, 42.568, 27.896, 35.173
'bali_phy_msa.179.fas', 34.13, 42.862, 29.898, 35.294
'bali_phy_msa.18.fas', 33.858, 42.415, 27.653, 35.073
'bali_phy_msa.180.fas', 31.604, 39.719, 25.95, 32.616
'bali_phy_msa.181.fas', 33.017, 41.406, 27.707, 33.69
'bali_phy_msa.182.fas', 33.052, 41.38, 28.391, 33.98
'bali_phy_msa.183.fas', 33.367, 42.134, 26.434, 34.213
'bali_phy_msa.184.fas', 34.435, 43.103, 28.874, 34.574
'bali_phy_msa.185.fas', 31.51, 39.698, 25.248, 32.054
'bali_phy_msa.186.fas', 33.317, 41.776, 27.718, 34.048
'bali_phy_msa.187.fas', 34.112, 42.545, 27.968, 34.73
'bali_phy_msa.188.fas', 32.964, 41.291, 28.589, 33.821
'bali_phy_msa.189.fas', 33.431, 41.916, 26.275, 34.273
'bali_phy_msa.19.fas', 31.778, 40.082, 27.722, 32.275
'bali_phy_msa.190.fas', 32.036, 40.291, 25.493, 33.466
'bali_phy_msa.191.fas', 31.151, 39.083, 25.284, 31.298
'bali_phy_msa.192.fas', 33.49, 42.315, 28.509, 34.312
'bali_phy_msa.193.fas', 33.249, 41.822, 25.512, 33.385
'bali_phy_msa.194.fas', 32.626, 40.863, 27.732, 33.344
'bali_phy_msa.195.fas', 33.687, 42.226, 28.382, 35.459
'bali_phy_msa.196.fas', 33.105, 41.652, 27.715, 33.958
'bali_phy_msa.197.fas', 33.709, 42.732, 29.174, 33.867
'bali_phy_msa.198.fas', 34.285, 42.77, 29.595, 34.966
'bali_phy_msa.199.fas', 30.863, 38.633, 27.469, 31.327
'bali_phy_msa.2.fas', 30.98, 38.919, 27.638, 32.324
'bali_phy_msa.20.fas', 32.17, 40.316, 27.918, 33.311
'bali_phy_msa.200.fas', 32.493, 41.015, 28.797, 33.453
'bali_phy_msa.201.fas', 33.298, 41.852, 28.996, 34.286
'bali_phy_msa.202.fas', 31.866, 40.106, 29.686, 31.804
'bali_phy_msa.203.fas', 33.649, 42.234, 29.258, 34.622
'bali_phy_msa.204.fas', 31.836, 40.068, 25.197, 32.644
'bali_phy_msa.205.fas', 32.362, 40.749, 27.474, 33.763
'bali_phy_msa.206.fas', 32.184, 40.197, 28.929, 32.571
'bali_phy_msa.207.fas', 28.837, 36.543, 24.354, 30.013
'bali_phy_msa.208.fas', 27.747, 35.145, 22.943, 28.198
'bali_phy_msa.209.fas', 33.003, 41.242, 28.938, 33.742
'bali_phy_msa.21.fas', 33.759, 42.251, 29.706, 34.899
'bali_phy_msa.210.fas', 33.661, 41.938, 29.377, 34.096
'bali_phy_msa.211.fas', 31.347, 39.246, 27.471, 31.832
'bali_phy_msa.212.fas', 33.16, 41.613, 26.198, 35.11
'bali_phy_msa.213.fas', 33.353, 41.645, 28.667, 33.468
'bali_phy_msa.214.fas', 33.364, 41.971, 28.859, 34.239
'bali_phy_msa.215.fas', 32.338, 40.533, 27.539, 32.916
'bali_phy_msa.216.fas', 31.858, 39.969, 27.433, 31.751
'bali_phy_msa.217.fas', 35.361, 44.335, 28.378, 35.839
'bali_phy_msa.218.fas', 33.139, 41.571, 27.219, 34.161
'bali_phy_msa.219.fas', 32.245, 40.632, 27.295, 33.205
'bali_phy_msa.22.fas', 33.991, 42.615, 28.338, 34.913
'bali_phy_msa.220.fas', 32.762, 41.089, 26.361, 33.924
'bali_phy_msa.221.fas', 33.489, 42.057, 29.187, 34.838
'bali_phy_msa.222.fas', 33.761, 42.31, 29.572, 34.896
'bali_phy_msa.223.fas', 31.786, 40.064, 27.527, 32.73
'bali_phy_msa.224.fas', 32.882, 41.036, 28.695, 33.401
'bali_phy_msa.225.fas', 31.224, 39.132, 26.647, 31.416
'bali_phy_msa.226.fas', 33.534, 42.04, 28.794, 34.109
'bali_phy_msa.227.fas', 29.709, 37.42, 26.224, 30.022
'bali_phy_msa.228.fas', 32.64, 40.944, 28.162, 33.575
'bali_phy_msa.229.fas', 32.992, 41.361, 28.558, 34.222
'bali_phy_msa.23.fas', 32.781, 41.169, 28.168, 34.193
'bali_phy_msa.230.fas', 33.776, 42.415, 29.353, 34.631
'bali_phy_msa.231.fas', 32.605, 41.055, 27.604, 33.545
'bali_phy_msa.232.fas', 32.589, 40.93, 25.966, 33.138
'bali_phy_msa.233.fas', 32.863, 41.227, 30.949, 30.913
'bali_phy_msa.234.fas', 33.569, 42.114, 27.763, 33.967
'bali_phy_msa.235.fas', 33.615, 42.17, 27.441, 33.94
'bali_phy_msa.236.fas', 32.929, 41.215, 26.758, 33.707
'bali_phy_msa.237.fas', 33.169, 41.57, 26.09, 33.872
'bali_phy_msa.238.fas', 33.415, 42.016, 26.205, 34.078
'bali_phy_msa.239.fas', 32.745, 41.016, 28.211, 33.807
'bali_phy_msa.24.fas', 33.983, 42.818, 29.229, 34.994
'bali_phy_msa.240.fas', 33.65, 42.124, 29.226, 34.484
'bali_phy_msa.241.fas', 32.851, 41.219, 31.733, 32.749
'bali_phy_msa.242.fas', 32.56, 40.869, 27.194, 33.229
'bali_phy_msa.243.fas', 33.887, 42.669, 28.551, 34.106
'bali_phy_msa.244.fas', 33.761, 42.235, 29.489, 34.244
'bali_phy_msa.245.fas', 33.982, 42.79, 27.429, 34.918
'bali_phy_msa.246.fas', 34.616, 43.283, 29.514, 35.31
'bali_phy_msa.247.fas', 32.212, 40.448, 27.319, 33.8
'bali_phy_msa.248.fas', 34.494, 43.317, 28.966, 35.909
'bali_phy_msa.249.fas', 33.549, 42.11, 28.083, 34.538
'bali_phy_msa.25.fas', 34.205, 42.972, 29.443, 35.095
'bali_phy_msa.250.fas', 31.599, 39.674, 27.113, 31.903
'bali_phy_msa.251.fas', 33.587, 42.207, 25.887, 33.643
'bali_phy_msa.252.fas', 33.244, 41.626, 28.939, 34.155
'bali_phy_msa.253.fas', 32.733, 41.284, 28.176, 33.025
'bali_phy_msa.254.fas', 29.293, 36.853, 23.291, 29.966
'bali_phy_msa.255.fas', 29.706, 37.713, 25.653, 30.63
'bali_phy_msa.256.fas', 32.114, 40.254, 28.218, 32.662
'bali_phy_msa.257.fas', 32.411, 40.78, 29.332, 32.596
'bali_phy_msa.258.fas', 32.377, 40.694, 28.407, 32.986
'bali_phy_msa.259.fas', 31.33, 39.581, 27.224, 32.11
'bali_phy_msa.26.fas', 33.532, 41.915, 29.173, 34.433
'bali_phy_msa.260.fas', 33.314, 41.883, 26.415, 34.512
'bali_phy_msa.261.fas', 33.479, 41.749, 28.74, 33.631
'bali_phy_msa.262.fas', 33.544, 42.062, 27.694, 33.84
'bali_phy_msa.263.fas', 33.553, 42.242, 27.421, 33.516
'bali_phy_msa.264.fas', 32.689, 41.157, 27.873, 33.352
'bali_phy_msa.265.fas', 33.364, 42.064, 27.506, 34.057
'bali_phy_msa.266.fas', 34.101, 42.769, 29.851, 35.069
'bali_phy_msa.267.fas', 34.301, 43.299, 29.609, 35.557
'bali_phy_msa.268.fas', 32.301, 40.651, 25.438, 33.15
'bali_phy_msa.269.fas', 33.706, 42.378, 27.628, 33.998
'bali_phy_msa.27.fas', 33.721, 42.303, 28.712, 34.638
'bali_phy_msa.270.fas', 30.886, 38.787, 25.384, 30.624
'bali_phy_msa.271.fas', 25.851, 32.746, 22.402, 26.798
'bali_phy_msa.272.fas', 32.962, 41.426, 28.528, 34.36
'bali_phy_msa.273.fas', 32.749, 41.248, 27.976, 33.404
'bali_phy_msa.274.fas', 32.503, 40.814, 28.641, 32.904
'bali_phy_msa.275.fas', 34.359, 43.05, 28.594, 35.086
'bali_phy_msa.276.fas', 34.197, 42.78, 29.089, 34.853
'bali_phy_msa.277.fas', 30.876, 38.703, 26.274, 31.741
'bali_phy_msa.278.fas', 33.31, 41.973, 28.519, 34.913
'bali_phy_msa.279.fas', 32.57, 40.83, 28.278, 33.804
'bali_phy_msa.28.fas', 33.65, 42.133, 29.311, 34.427
'bali_phy_msa.280.fas', 32.355, 40.63, 30.656, 32.644
'bali_phy_msa.281.fas', 34.115, 42.737, 29.206, 35.615
'bali_phy_msa.282.fas', 32.025, 40.235, 27.662, 33.018
'bali_phy_msa.283.fas', 31.564, 39.587, 26.617, 32.564
'bali_phy_msa.284.fas', 33.041, 41.447, 28.657, 33.944
'bali_phy_msa.285.fas', 32.504, 40.897, 27.654, 32.988
'bali_phy_msa.286.fas', 33.196, 41.653, 27.424, 34.077
'bali_phy_msa.287.fas', 34.75, 43.391, 29.723, 35.492
'bali_phy_msa.288.fas', 32.327, 40.604, 27.455, 33.267
'bali_phy_msa.289.fas', 31.183, 39.16, 27.274, 32.048
'bali_phy_msa.29.fas', 33.533, 42.098, 29.274, 34.175
'bali_phy_msa.290.fas', 33.332, 41.83, 29.246, 34.399
'bali_phy_msa.291.fas', 33.044, 41.691, 25.687, 33.341
'bali_phy_msa.292.fas', 32.276, 40.383, 28.157, 33.408
'bali_phy_msa.293.fas', 32.095, 40.392, 27.099, 32.775
'bali_phy_msa.294.fas', 32.603, 41.023, 28.394, 33.769
'bali_phy_msa.295.fas', 33.828, 42.465, 29.501, 34.739
'bali_phy_msa.296.fas', 32.782, 41.208, 27.226, 32.908
'bali_phy_msa.297.fas', 32.796, 41.222, 28.464, 33.711
'bali_phy_msa.298.fas', 32.57, 40.914, 29.09, 34.04
'bali_phy_msa.299.fas', 33.056, 41.43, 28.868, 33.798
'bali_phy_msa.3.fas', 31.989, 40.494, 27.402, 32.23
'bali_phy_msa.30.fas', 33.653, 42.126, 28.773, 33.748
'bali_phy_msa.300.fas', 32.673, 41.111, 28.364, 33.272
'bali_phy_msa.301.fas', 31.692, 39.837, 26.358, 32.228
'bali_phy_msa.302.fas', 32.79, 41.142, 28.691, 33.779
'bali_phy_msa.303.fas', 32.662, 41.096, 30.171, 32.143
'bali_phy_msa.304.fas', 31.692, 39.939, 27.238, 32.59
'bali_phy_msa.305.fas', 33.452, 41.94, 28.69, 33.857
'bali_phy_msa.306.fas', 33.226, 42.033, 28.281, 34.126
