code_BLOSUM62_GO_-6_GE_-0.5,sp_match_count,sp_match_count_norm,sp_mismatch_count,sp_mismatch_count_norm,sp_go,sp_go_norm,sp_ge,sp_ge_norm,sp_match_BLOSUM62,sp_match_norm_BLOSUM62,sp_mismatch_BLOSUM62,sp_mismatch_norm_BLOSUM62,sp_BLOSUM62_GO_-6_GE_-0.5,sp_norm_BLOSUM62_GO_-6_GE_-0.5
'bali_phy_msa.1.fas', 8943.0, 0.026, 71201, 0.208, 1217, 0.004, 61633, 0.18, 46402.0, 0.135, -86409, -0.252, -78125.5, -0.228
'bali_phy_msa.10.fas', 33947.0, 0.061, 25032, 0.045, 5444, 0.01, 103963, 0.186, 183706.0, 0.329, -11791, -0.021, 87269.5, 0.156
'bali_phy_msa.100.fas', 33882.0, 0.061, 25155, 0.045, 5086, 0.009, 103847, 0.185, 183879.0, 0.328, -11680, -0.021, 89759.5, 0.16
'bali_phy_msa.101.fas', 33718.0, 0.06, 25575, 0.046, 5148, 0.009, 103335, 0.185, 182880.0, 0.327, -12493, -0.022, 87831.5, 0.157
'bali_phy_msa.102.fas', 33337.0, 0.058, 24802, 0.043, 5452, 0.009, 105643, 0.183, 181318.0, 0.315, -11840, -0.021, 83944.5, 0.146
'bali_phy_msa.103.fas', 33566.0, 0.058, 25194, 0.044, 5260, 0.009, 104401, 0.181, 181965.0, 0.315, -11684, -0.02, 86520.5, 0.15
'bali_phy_msa.104.fas', 33686.0, 0.059, 25492, 0.045, 5043, 0.009, 103565, 0.182, 182490.0, 0.32, -11931, -0.021, 88518.5, 0.155
'bali_phy_msa.105.fas', 33575.0, 0.058, 24616, 0.042, 5130, 0.009, 105539, 0.182, 181488.0, 0.313, -10821, -0.019, 87117.5, 0.15
'bali_phy_msa.106.fas', 33704.0, 0.056, 25132, 0.042, 5326, 0.009, 104249, 0.174, 182683.0, 0.306, -11863, -0.02, 86739.5, 0.145
'bali_phy_msa.107.fas', 33916.0, 0.06, 25006, 0.044, 5142, 0.009, 104077, 0.184, 184058.0, 0.325, -11300, -0.02, 89867.5, 0.158
'bali_phy_msa.108.fas', 34011.0, 0.061, 25056, 0.045, 5454, 0.01, 103787, 0.186, 184458.0, 0.33, -11622, -0.021, 88218.5, 0.158
'bali_phy_msa.109.fas', 34000.0, 0.06, 25308, 0.045, 5123, 0.009, 103305, 0.183, 184246.0, 0.326, -11876, -0.021, 89979.5, 0.159
'bali_phy_msa.11.fas', 33689.0, 0.059, 24912, 0.044, 5178, 0.009, 104719, 0.184, 183002.0, 0.321, -11446, -0.02, 88128.5, 0.155
'bali_phy_msa.110.fas', 33966.0, 0.06, 25370, 0.045, 5125, 0.009, 103249, 0.184, 184124.0, 0.327, -12292, -0.022, 89457.5, 0.159
'bali_phy_msa.111.fas', 33469.0, 0.057, 24336, 0.041, 5294, 0.009, 106311, 0.18, 180953.0, 0.306, -11201, -0.019, 84832.5, 0.143
'bali_phy_msa.112.fas', 33749.0, 0.06, 25094, 0.045, 5259, 0.009, 104235, 0.185, 182541.0, 0.324, -11552, -0.021, 87317.5, 0.155
'bali_phy_msa.113.fas', 33766.0, 0.059, 25138, 0.044, 5306, 0.009, 104113, 0.181, 183093.0, 0.319, -11535, -0.02, 87665.5, 0.153
'bali_phy_msa.114.fas', 33578.0, 0.06, 24795, 0.044, 5196, 0.009, 105175, 0.188, 181727.0, 0.325, -11725, -0.021, 86238.5, 0.154
'bali_phy_msa.115.fas', 33857.0, 0.061, 25605, 0.046, 5019, 0.009, 102997, 0.186, 183689.0, 0.332, -12727, -0.023, 89349.5, 0.161
'bali_phy_msa.116.fas', 33829.0, 0.06, 24433, 0.043, 5306, 0.009, 105397, 0.187, 183283.0, 0.325, -11164, -0.02, 87584.5, 0.155
'bali_phy_msa.117.fas', 33677.0, 0.059, 25067, 0.044, 5377, 0.009, 104433, 0.183, 182783.0, 0.32, -12347, -0.022, 85957.5, 0.15
'bali_phy_msa.118.fas', 33834.0, 0.061, 25194, 0.046, 5204, 0.009, 103865, 0.188, 183636.0, 0.332, -12710, -0.023, 87769.5, 0.159
'bali_phy_msa.119.fas', 33696.0, 0.06, 24765, 0.044, 5248, 0.009, 104999, 0.188, 182419.0, 0.327, -11427, -0.021, 87004.5, 0.156
'bali_phy_msa.12.fas', 33824.0, 0.06, 25453, 0.045, 5109, 0.009, 103367, 0.185, 183443.0, 0.328, -11509, -0.021, 89596.5, 0.16
'bali_phy_msa.120.fas', 33608.0, 0.058, 24493, 0.043, 5213, 0.009, 105719, 0.184, 181968.0, 0.317, -11237, -0.02, 86593.5, 0.151
'bali_phy_msa.121.fas', 33731.0, 0.059, 25008, 0.044, 5227, 0.009, 104443, 0.184, 183126.0, 0.322, -11477, -0.02, 88065.5, 0.155
'bali_phy_msa.122.fas', 33892.0, 0.061, 25478, 0.046, 4959, 0.009, 103181, 0.186, 183801.0, 0.331, -12130, -0.022, 90326.5, 0.163
'bali_phy_msa.123.fas', 33743.0, 0.06, 25570, 0.046, 5206, 0.009, 103295, 0.185, 182905.0, 0.327, -12140, -0.022, 87881.5, 0.157
'bali_phy_msa.124.fas', 33746.0, 0.058, 24043, 0.042, 5523, 0.01, 106343, 0.184, 182610.0, 0.316, -10209, -0.018, 86091.5, 0.149
'bali_phy_msa.125.fas', 33852.0, 0.061, 25539, 0.046, 5173, 0.009, 103139, 0.186, 183603.0, 0.331, -12109, -0.022, 88886.5, 0.16
'bali_phy_msa.126.fas', 33592.0, 0.056, 24753, 0.041, 5386, 0.009, 105231, 0.176, 182012.0, 0.304, -11412, -0.019, 85668.5, 0.143
'bali_phy_msa.127.fas', 33748.0, 0.06, 25134, 0.045, 5254, 0.009, 104157, 0.186, 183182.0, 0.327, -11904, -0.021, 87675.5, 0.157
'bali_phy_msa.128.fas', 33842.0, 0.059, 25299, 0.044, 5109, 0.009, 103639, 0.182, 183538.0, 0.322, -11676, -0.02, 89388.5, 0.157
'bali_phy_msa.129.fas', 33851.0, 0.06, 25376, 0.045, 5084, 0.009, 103467, 0.184, 183505.0, 0.327, -11989, -0.021, 89278.5, 0.159
'bali_phy_msa.13.fas', 33717.0, 0.06, 24750, 0.044, 5182, 0.009, 104987, 0.188, 182610.0, 0.327, -11275, -0.02, 87749.5, 0.157
'bali_phy_msa.130.fas', 33329.0, 0.058, 24555, 0.042, 5182, 0.009, 106153, 0.184, 180232.0, 0.312, -11314, -0.02, 84749.5, 0.147
'bali_phy_msa.131.fas', 33703.0, 0.06, 24522, 0.044, 5484, 0.01, 105471, 0.188, 182461.0, 0.325, -11815, -0.021, 85006.5, 0.151
'bali_phy_msa.132.fas', 33720.0, 0.059, 24952, 0.044, 5080, 0.009, 104577, 0.184, 182805.0, 0.321, -11662, -0.02, 88374.5, 0.155
'bali_phy_msa.133.fas', 33895.0, 0.06, 25037, 0.044, 5350, 0.009, 104057, 0.184, 183871.0, 0.326, -11415, -0.02, 88327.5, 0.156
'bali_phy_msa.134.fas', 33800.0, 0.059, 24820, 0.043, 5352, 0.009, 104681, 0.181, 182764.0, 0.317, -11062, -0.019, 87249.5, 0.151
'bali_phy_msa.135.fas', 33812.0, 0.06, 25429, 0.045, 4989, 0.009, 103439, 0.185, 183265.0, 0.327, -12857, -0.023, 88754.5, 0.159
'bali_phy_msa.136.fas', 33865.0, 0.061, 25522, 0.046, 5185, 0.009, 103147, 0.186, 183755.0, 0.331, -12597, -0.023, 88474.5, 0.159
'bali_phy_msa.137.fas', 33696.0, 0.061, 25735, 0.046, 5138, 0.009, 103059, 0.186, 182775.0, 0.329, -11595, -0.021, 88822.5, 0.16
'bali_phy_msa.138.fas', 33709.0, 0.057, 24327, 0.041, 5225, 0.009, 105849, 0.179, 182306.0, 0.307, -10789, -0.018, 87242.5, 0.147
'bali_phy_msa.139.fas', 33588.0, 0.06, 25180, 0.045, 5233, 0.009, 104385, 0.188, 181692.0, 0.327, -11127, -0.02, 86974.5, 0.156
'bali_phy_msa.14.fas', 33871.0, 0.061, 25597, 0.046, 5146, 0.009, 102985, 0.187, 183839.0, 0.333, -12374, -0.022, 89096.5, 0.162
'bali_phy_msa.140.fas', 33576.0, 0.059, 25085, 0.044, 5022, 0.009, 104599, 0.184, 182027.0, 0.32, -11736, -0.021, 87859.5, 0.154
'bali_phy_msa.141.fas', 33541.0, 0.057, 24111, 0.041, 5184, 0.009, 106617, 0.182, 181436.0, 0.309, -10966, -0.019, 86057.5, 0.147
'bali_phy_msa.142.fas', 33955.0, 0.062, 25520, 0.046, 4979, 0.009, 102971, 0.187, 184095.0, 0.334, -12091, -0.022, 90644.5, 0.164
'bali_phy_msa.143.fas', 33738.0, 0.059, 25600, 0.045, 5057, 0.009, 103245, 0.181, 182876.0, 0.321, -12471, -0.022, 88440.5, 0.155
'bali_phy_msa.144.fas', 33671.0, 0.059, 24767, 0.044, 5325, 0.009, 105045, 0.186, 182070.0, 0.322, -11901, -0.021, 85696.5, 0.151
'bali_phy_msa.145.fas', 33439.0, 0.058, 24366, 0.042, 5392, 0.009, 106311, 0.183, 180682.0, 0.311, -10928, -0.019, 84246.5, 0.145
'bali_phy_msa.146.fas', 33781.0, 0.061, 25273, 0.046, 5158, 0.009, 103813, 0.187, 182725.0, 0.329, -11461, -0.021, 88409.5, 0.159
'bali_phy_msa.147.fas', 33791.0, 0.059, 25053, 0.044, 5274, 0.009, 104233, 0.182, 183300.0, 0.32, -11568, -0.02, 87971.5, 0.154
'bali_phy_msa.148.fas', 33459.0, 0.058, 24601, 0.043, 5206, 0.009, 105801, 0.184, 181138.0, 0.315, -11517, -0.02, 85484.5, 0.148
'bali_phy_msa.149.fas', 33604.0, 0.059, 25039, 0.044, 5265, 0.009, 104635, 0.183, 181791.0, 0.318, -11422, -0.02, 86461.5, 0.151
'bali_phy_msa.15.fas', 33459.0, 0.055, 24753, 0.041, 4968, 0.008, 105497, 0.173, 181504.0, 0.298, -11408, -0.019, 87539.5, 0.144
'bali_phy_msa.150.fas', 33537.0, 0.058, 25020, 0.044, 5534, 0.01, 104807, 0.183, 182250.0, 0.318, -11258, -0.02, 85384.5, 0.149
'bali_phy_msa.151.fas', 33372.0, 0.059, 25228, 0.045, 5057, 0.009, 104721, 0.185, 180030.0, 0.318, -12100, -0.021, 85227.5, 0.151
'bali_phy_msa.152.fas', 33759.0, 0.06, 25233, 0.045, 5120, 0.009, 103937, 0.184, 183035.0, 0.325, -11637, -0.021, 88709.5, 0.157
'bali_phy_msa.153.fas', 33708.0, 0.06, 25325, 0.045, 5369, 0.01, 103855, 0.184, 182688.0, 0.323, -11658, -0.021, 86888.5, 0.154
'bali_phy_msa.154.fas', 33683.0, 0.06, 24501, 0.043, 5377, 0.01, 105553, 0.187, 181997.0, 0.322, -11224, -0.02, 85734.5, 0.152
'bali_phy_msa.155.fas', 33851.0, 0.06, 25258, 0.045, 5346, 0.01, 103703, 0.185, 183265.0, 0.327, -11530, -0.021, 87807.5, 0.157
'bali_phy_msa.156.fas', 33829.0, 0.06, 25287, 0.045, 4980, 0.009, 103689, 0.184, 183275.0, 0.325, -12150, -0.022, 89400.5, 0.158
'bali_phy_msa.157.fas', 33637.0, 0.06, 24708, 0.044, 5301, 0.009, 105231, 0.186, 181938.0, 0.322, -11494, -0.02, 86022.5, 0.152
'bali_phy_msa.158.fas', 33567.0, 0.056, 24359, 0.041, 5491, 0.009, 106069, 0.177, 181419.0, 0.302, -11180, -0.019, 84258.5, 0.14
'bali_phy_msa.159.fas', 33859.0, 0.06, 25177, 0.044, 5229, 0.009, 103849, 0.183, 183748.0, 0.323, -11519, -0.02, 88930.5, 0.156
'bali_phy_msa.16.fas', 33675.0, 0.058, 24479, 0.042, 5335, 0.009, 105613, 0.182, 182172.0, 0.314, -10775, -0.019, 86580.5, 0.149
'bali_phy_msa.160.fas', 33873.0, 0.061, 25511, 0.046, 5131, 0.009, 103153, 0.185, 183697.0, 0.33, -12519, -0.022, 88815.5, 0.159
'bali_phy_msa.161.fas', 33693.0, 0.06, 25423, 0.045, 5054, 0.009, 103689, 0.184, 182739.0, 0.324, -12040, -0.021, 88530.5, 0.157
'bali_phy_msa.162.fas', 33903.0, 0.061, 25309, 0.045, 5176, 0.009, 103497, 0.185, 183934.0, 0.329, -12245, -0.022, 88884.5, 0.159
'bali_phy_msa.163.fas', 33903.0, 0.059, 24812, 0.043, 5452, 0.009, 104491, 0.181, 183975.0, 0.318, -11114, -0.019, 87903.5, 0.152
'bali_phy_msa.164.fas', 33617.0, 0.058, 25095, 0.043, 5234, 0.009, 104497, 0.18, 182333.0, 0.315, -11803, -0.02, 86877.5, 0.15
'bali_phy_msa.165.fas', 33966.0, 0.061, 25397, 0.046, 5044, 0.009, 103195, 0.186, 184205.0, 0.331, -12025, -0.022, 90318.5, 0.162
'bali_phy_msa.166.fas', 33908.0, 0.059, 24626, 0.043, 5485, 0.01, 104853, 0.182, 183902.0, 0.319, -11729, -0.02, 86836.5, 0.151
'bali_phy_msa.167.fas', 33771.0, 0.059, 24829, 0.043, 5523, 0.01, 104721, 0.182, 183453.0, 0.318, -11372, -0.02, 86582.5, 0.15
'bali_phy_msa.168.fas', 33483.0, 0.056, 24357, 0.041, 5342, 0.009, 106241, 0.177, 181246.0, 0.303, -10358, -0.017, 85715.5, 0.143
'bali_phy_msa.169.fas', 33102.0, 0.057, 25135, 0.044, 4959, 0.009, 105447, 0.183, 178737.0, 0.31, -11755, -0.02, 84504.5, 0.147
'bali_phy_msa.17.fas', 33537.0, 0.058, 24750, 0.042, 5168, 0.009, 105347, 0.181, 182041.0, 0.312, -10964, -0.019, 87395.5, 0.15
'bali_phy_msa.170.fas', 33531.0, 0.058, 24626, 0.042, 5239, 0.009, 105607, 0.182, 181310.0, 0.312, -11340, -0.02, 85732.5, 0.148
'bali_phy_msa.171.fas', 33794.0, 0.06, 25478, 0.045, 5045, 0.009, 103377, 0.184, 183279.0, 0.326, -12218, -0.022, 89102.5, 0.158
'bali_phy_msa.172.fas', 33545.0, 0.057, 24958, 0.043, 5161, 0.009, 104915, 0.18, 182093.0, 0.312, -11746, -0.02, 86923.5, 0.149
'bali_phy_msa.173.fas', 33674.0, 0.059, 25181, 0.044, 5017, 0.009, 104211, 0.183, 182600.0, 0.32, -12507, -0.022, 87885.5, 0.154
'bali_phy_msa.174.fas', 33827.0, 0.059, 25244, 0.044, 5135, 0.009, 103779, 0.181, 183502.0, 0.319, -12012, -0.021, 88790.5, 0.155
'bali_phy_msa.175.fas', 33722.0, 0.06, 24959, 0.044, 5577, 0.01, 104559, 0.186, 182969.0, 0.326, -11434, -0.02, 85793.5, 0.153
'bali_phy_msa.176.fas', 33715.0, 0.059, 25215, 0.044, 5062, 0.009, 104061, 0.183, 182852.0, 0.322, -11691, -0.021, 88758.5, 0.156
'bali_phy_msa.177.fas', 33506.0, 0.058, 24572, 0.043, 5297, 0.009, 105765, 0.183, 181167.0, 0.314, -11051, -0.019, 85451.5, 0.148
'bali_phy_msa.178.fas', 33938.0, 0.06, 25233, 0.045, 5237, 0.009, 103579, 0.183, 184133.0, 0.326, -12199, -0.022, 88722.5, 0.157
'bali_phy_msa.179.fas', 33774.0, 0.061, 25694, 0.046, 5051, 0.009, 102985, 0.185, 183117.0, 0.329, -12180, -0.022, 89138.5, 0.16
'bali_phy_msa.18.fas', 33718.0, 0.06, 25430, 0.046, 5171, 0.009, 103625, 0.186, 183007.0, 0.328, -11559, -0.021, 88609.5, 0.159
'bali_phy_msa.180.fas', 33634.0, 0.057, 24439, 0.042, 5507, 0.009, 105775, 0.181, 181968.0, 0.311, -10562, -0.018, 85476.5, 0.146
'bali_phy_msa.181.fas', 33814.0, 0.061, 24892, 0.045, 5345, 0.01, 104509, 0.188, 182868.0, 0.329, -11378, -0.02, 87165.5, 0.157
'bali_phy_msa.182.fas', 33745.0, 0.059, 25123, 0.044, 5157, 0.009, 104185, 0.183, 183118.0, 0.322, -11448, -0.02, 88635.5, 0.156
'bali_phy_msa.183.fas', 33671.0, 0.061, 25637, 0.046, 5254, 0.009, 103305, 0.186, 182842.0, 0.329, -12416, -0.022, 87249.5, 0.157
'bali_phy_msa.184.fas', 33955.0, 0.06, 25047, 0.044, 5163, 0.009, 103917, 0.183, 184163.0, 0.325, -12071, -0.021, 89155.5, 0.157
'bali_phy_msa.185.fas', 33379.0, 0.057, 24445, 0.042, 5141, 0.009, 106273, 0.183, 180405.0, 0.31, -11382, -0.02, 85040.5, 0.146
'bali_phy_msa.186.fas', 33662.0, 0.06, 25256, 0.045, 5166, 0.009, 104085, 0.185, 182659.0, 0.324, -11834, -0.021, 87786.5, 0.156
'bali_phy_msa.187.fas', 33899.0, 0.061, 25097, 0.045, 5031, 0.009, 103929, 0.187, 183687.0, 0.331, -11875, -0.021, 89661.5, 0.162
'bali_phy_msa.188.fas', 33791.0, 0.059, 24480, 0.043, 5361, 0.009, 105379, 0.184, 182798.0, 0.32, -11130, -0.019, 86812.5, 0.152
'bali_phy_msa.189.fas', 33820.0, 0.061, 25326, 0.045, 5210, 0.009, 103629, 0.186, 183428.0, 0.329, -11740, -0.021, 88613.5, 0.159
'bali_phy_msa.19.fas', 33606.0, 0.058, 24560, 0.042, 5504, 0.009, 105589, 0.182, 181759.0, 0.314, -10907, -0.019, 85033.5, 0.147
'bali_phy_msa.190.fas', 33741.0, 0.06, 25456, 0.045, 5409, 0.01, 103527, 0.185, 183223.0, 0.327, -11950, -0.021, 87055.5, 0.156
'bali_phy_msa.191.fas', 33613.0, 0.06, 25230, 0.045, 5351, 0.009, 104235, 0.185, 182470.0, 0.323, -11698, -0.021, 86548.5, 0.153
'bali_phy_msa.192.fas', 33811.0, 0.06, 25485, 0.045, 5326, 0.009, 103329, 0.183, 182719.0, 0.324, -12014, -0.021, 87084.5, 0.155
'bali_phy_msa.193.fas', 33616.0, 0.059, 25275, 0.045, 5057, 0.009, 104139, 0.184, 182322.0, 0.322, -11395, -0.02, 88515.5, 0.156
'bali_phy_msa.194.fas', 33703.0, 0.06, 25539, 0.046, 5250, 0.009, 103437, 0.185, 182626.0, 0.326, -11865, -0.021, 87542.5, 0.156
'bali_phy_msa.195.fas', 33759.0, 0.062, 25341, 0.046, 5116, 0.009, 103721, 0.189, 182421.0, 0.333, -12452, -0.023, 87412.5, 0.16
'bali_phy_msa.196.fas', 33706.0, 0.059, 24800, 0.044, 5223, 0.009, 104909, 0.185, 182126.0, 0.321, -11674, -0.021, 86659.5, 0.153
'bali_phy_msa.197.fas', 33959.0, 0.054, 24931, 0.04, 5385, 0.009, 104141, 0.166, 183663.0, 0.293, -11283, -0.018, 87999.5, 0.141
'bali_phy_msa.198.fas', 33817.0, 0.06, 25352, 0.045, 4904, 0.009, 103583, 0.183, 183180.0, 0.324, -12053, -0.021, 89911.5, 0.159
'bali_phy_msa.199.fas', 33668.0, 0.058, 24119, 0.042, 5594, 0.01, 106347, 0.184, 182330.0, 0.315, -10563, -0.018, 85029.5, 0.147
'bali_phy_msa.2.fas', 33408.0, 0.056, 25124, 0.042, 5123, 0.009, 104857, 0.176, 180975.0, 0.304, -11703, -0.02, 86105.5, 0.145
'bali_phy_msa.20.fas', 33606.0, 0.058, 25019, 0.043, 5161, 0.009, 104671, 0.18, 182161.0, 0.314, -11951, -0.021, 86908.5, 0.15
'bali_phy_msa.200.fas', 33743.0, 0.059, 25137, 0.044, 5290, 0.009, 104161, 0.183, 182317.0, 0.321, -11488, -0.02, 87008.5, 0.153
'bali_phy_msa.201.fas', 33789.0, 0.06, 25401, 0.045, 5177, 0.009, 103541, 0.183, 182892.0, 0.322, -12287, -0.022, 87772.5, 0.155
'bali_phy_msa.202.fas', 33549.0, 0.057, 24736, 0.042, 5387, 0.009, 105351, 0.18, 181543.0, 0.309, -11376, -0.019, 85169.5, 0.145
'bali_phy_msa.203.fas', 33726.0, 0.059, 25411, 0.045, 5167, 0.009, 103647, 0.182, 183004.0, 0.322, -11785, -0.021, 88393.5, 0.156
'bali_phy_msa.204.fas', 33565.0, 0.057, 24829, 0.042, 5247, 0.009, 105133, 0.18, 182101.0, 0.312, -11618, -0.02, 86434.5, 0.148
'bali_phy_msa.205.fas', 33509.0, 0.06, 25834, 0.046, 5142, 0.009, 103235, 0.185, 181865.0, 0.326, -12867, -0.023, 86528.5, 0.155
'bali_phy_msa.206.fas', 33746.0, 0.059, 24622, 0.043, 5507, 0.01, 105185, 0.185, 182607.0, 0.321, -11283, -0.02, 85689.5, 0.151
'bali_phy_msa.207.fas', 33221.0, 0.057, 24111, 0.042, 5332, 0.009, 107257, 0.185, 179176.0, 0.309, -11081, -0.019, 82474.5, 0.142
'bali_phy_msa.208.fas', 32904.0, 0.056, 23698, 0.04, 5269, 0.009, 108717, 0.185, 177464.0, 0.302, -10476, -0.018, 81015.5, 0.138
'bali_phy_msa.209.fas', 33765.0, 0.059, 24438, 0.043, 5270, 0.009, 105515, 0.184, 182659.0, 0.319, -11694, -0.02, 86587.5, 0.151
'bali_phy_msa.21.fas', 33775.0, 0.06, 25472, 0.045, 4991, 0.009, 103427, 0.184, 183206.0, 0.327, -12341, -0.022, 89205.5, 0.159
'bali_phy_msa.210.fas', 33731.0, 0.058, 24866, 0.042, 5013, 0.009, 104727, 0.179, 182852.0, 0.312, -11337, -0.019, 89073.5, 0.152
'bali_phy_msa.211.fas', 33658.0, 0.057, 24755, 0.042, 5393, 0.009, 105095, 0.179, 182638.0, 0.311, -11865, -0.02, 85867.5, 0.146
'bali_phy_msa.212.fas', 33600.0, 0.06, 25499, 0.045, 5144, 0.009, 103723, 0.185, 182371.0, 0.325, -11639, -0.021, 88006.5, 0.157
'bali_phy_msa.213.fas', 33772.0, 0.059, 24566, 0.043, 5179, 0.009, 105245, 0.183, 182462.0, 0.317, -11145, -0.019, 87620.5, 0.152
'bali_phy_msa.214.fas', 33782.0, 0.06, 25301, 0.045, 5167, 0.009, 103755, 0.183, 183206.0, 0.323, -11784, -0.021, 88542.5, 0.156
'bali_phy_msa.215.fas', 33582.0, 0.058, 24650, 0.043, 5171, 0.009, 105457, 0.183, 181665.0, 0.315, -11130, -0.019, 86780.5, 0.15
'bali_phy_msa.216.fas', 33674.0, 0.059, 24371, 0.042, 5351, 0.009, 105831, 0.184, 182391.0, 0.317, -11390, -0.02, 85979.5, 0.15
'bali_phy_msa.217.fas', 33973.0, 0.061, 25409, 0.046, 5009, 0.009, 103157, 0.186, 184282.0, 0.333, -11907, -0.022, 90742.5, 0.164
'bali_phy_msa.218.fas', 33612.0, 0.06, 25447, 0.045, 5148, 0.009, 103803, 0.185, 182321.0, 0.324, -11992, -0.021, 87539.5, 0.156
'bali_phy_msa.219.fas', 33455.0, 0.058, 24695, 0.043, 5319, 0.009, 105621, 0.183, 180958.0, 0.314, -11292, -0.02, 84941.5, 0.147
'bali_phy_msa.22.fas', 33812.0, 0.061, 25725, 0.046, 5107, 0.009, 102847, 0.186, 183265.0, 0.331, -12115, -0.022, 89084.5, 0.161
'bali_phy_msa.220.fas', 33629.0, 0.059, 24979, 0.044, 5083, 0.009, 104705, 0.183, 182365.0, 0.319, -11622, -0.02, 87892.5, 0.154
'bali_phy_msa.221.fas', 33654.0, 0.059, 25477, 0.045, 4936, 0.009, 103659, 0.181, 182456.0, 0.319, -12278, -0.021, 88732.5, 0.155
'bali_phy_msa.222.fas', 33807.0, 0.059, 25150, 0.044, 5142, 0.009, 104007, 0.183, 183306.0, 0.322, -11525, -0.02, 88925.5, 0.156
'bali_phy_msa.223.fas', 33520.0, 0.058, 24476, 0.043, 5592, 0.01, 105929, 0.185, 181810.0, 0.317, -11063, -0.019, 84230.5, 0.147
'bali_phy_msa.224.fas', 33744.0, 0.059, 24373, 0.042, 5229, 0.009, 105687, 0.184, 182430.0, 0.317, -10976, -0.019, 87236.5, 0.152
'bali_phy_msa.225.fas', 33524.0, 0.057, 23807, 0.04, 5533, 0.009, 107259, 0.182, 181242.0, 0.307, -10559, -0.018, 83855.5, 0.142
'bali_phy_msa.226.fas', 33765.0, 0.059, 24831, 0.043, 5084, 0.009, 104729, 0.183, 182952.0, 0.319, -11712, -0.02, 88371.5, 0.154
'bali_phy_msa.227.fas', 33344.0, 0.056, 24232, 0.041, 5601, 0.009, 106769, 0.18, 180416.0, 0.304, -10883, -0.018, 82542.5, 0.139
'bali_phy_msa.228.fas', 33542.0, 0.059, 24393, 0.043, 5191, 0.009, 106051, 0.185, 181292.0, 0.316, -10825, -0.019, 86295.5, 0.151
'bali_phy_msa.229.fas', 33605.0, 0.058, 25213, 0.044, 5134, 0.009, 104285, 0.181, 182077.0, 0.316, -11771, -0.02, 87359.5, 0.152
'bali_phy_msa.23.fas', 33726.0, 0.06, 24992, 0.044, 5382, 0.01, 104485, 0.185, 182478.0, 0.324, -11359, -0.02, 86584.5, 0.154
'bali_phy_msa.230.fas', 33699.0, 0.059, 25311, 0.044, 5041, 0.009, 103901, 0.182, 182787.0, 0.32, -12241, -0.021, 88349.5, 0.155
'bali_phy_msa.231.fas', 33662.0, 0.058, 24764, 0.042, 5311, 0.009, 105069, 0.18, 182613.0, 0.313, -11730, -0.02, 86482.5, 0.148
'bali_phy_msa.232.fas', 33682.0, 0.059, 25335, 0.044, 5091, 0.009, 103887, 0.182, 182686.0, 0.32, -11879, -0.021, 88317.5, 0.155
'bali_phy_msa.233.fas', 33513.0, 0.058, 25313, 0.044, 4907, 0.009, 104269, 0.181, 181793.0, 0.316, -11919, -0.021, 88297.5, 0.154
'bali_phy_msa.234.fas', 33734.0, 0.059, 24859, 0.044, 5161, 0.009, 104735, 0.184, 182491.0, 0.32, -11371, -0.02, 87786.5, 0.154
'bali_phy_msa.235.fas', 33910.0, 0.06, 25213, 0.045, 5165, 0.009, 103675, 0.184, 183708.0, 0.325, -12058, -0.021, 88822.5, 0.157
'bali_phy_msa.236.fas', 33830.0, 0.06, 24664, 0.044, 5450, 0.01, 104933, 0.186, 183576.0, 0.325, -11037, -0.02, 87372.5, 0.155
'bali_phy_msa.237.fas', 33811.0, 0.059, 25049, 0.044, 5317, 0.009, 104201, 0.182, 183639.0, 0.321, -11297, -0.02, 88339.5, 0.154
'bali_phy_msa.238.fas', 33707.0, 0.06, 25505, 0.045, 4965, 0.009, 103497, 0.184, 182817.0, 0.326, -12156, -0.022, 89122.5, 0.159
'bali_phy_msa.239.fas', 33673.0, 0.06, 24946, 0.045, 5177, 0.009, 104683, 0.188, 182118.0, 0.327, -11525, -0.021, 87189.5, 0.156
'bali_phy_msa.24.fas', 33695.0, 0.06, 25490, 0.045, 5096, 0.009, 103551, 0.183, 182655.0, 0.323, -11887, -0.021, 88416.5, 0.156
'bali_phy_msa.240.fas', 33756.0, 0.06, 25629, 0.046, 5084, 0.009, 103151, 0.184, 182707.0, 0.326, -12010, -0.021, 88617.5, 0.158
'bali_phy_msa.241.fas', 33788.0, 0.057, 24290, 0.041, 5316, 0.009, 105765, 0.177, 182990.0, 0.307, -11125, -0.019, 87086.5, 0.146
'bali_phy_msa.242.fas', 33858.0, 0.059, 25002, 0.044, 5286, 0.009, 104201, 0.183, 183641.0, 0.322, -12231, -0.021, 87593.5, 0.154
'bali_phy_msa.243.fas', 33799.0, 0.059, 25082, 0.044, 5204, 0.009, 104159, 0.182, 183424.0, 0.321, -12077, -0.021, 88043.5, 0.154
