code_PAM250_GO_-10_GE_-0.5,sp_HENIKOFF_with_gaps_PAM250_GO_-10_GE_-0.5,sp_HENIKOFF_without_gaps_PAM250_GO_-10_GE_-0.5,sp_CLUSTAL_WEIGHTS_mid_root_PAM250_GO_-10_GE_-0.5,sp_CLUSTAL_WEIGHTS_diff_sum_PAM250_GO_-10_GE_-0.5
'bali_phy_msa.1.fas', -47.06, -49.12, -41.076, -47.97
'bali_phy_msa.10.fas', 21.738, 29.214, 16.797, 21.683
'bali_phy_msa.100.fas', 22.956, 30.267, 16.756, 21.964
'bali_phy_msa.101.fas', 22.003, 29.391, 18.259, 21.651
'bali_phy_msa.102.fas', 17.573, 23.859, 14.536, 16.6
'bali_phy_msa.103.fas', 20.915, 27.911, 17.292, 20.16
'bali_phy_msa.104.fas', 23.282, 31.152, 19.183, 22.901
'bali_phy_msa.105.fas', 21.729, 28.762, 18.345, 21.297
'bali_phy_msa.106.fas', 21.972, 29.715, 20.448, 21.116
'bali_phy_msa.107.fas', 22.575, 29.625, 16.793, 22.181
'bali_phy_msa.108.fas', 20.738, 27.581, 16.755, 20.532
'bali_phy_msa.109.fas', 23.359, 30.847, 18.248, 23.081
'bali_phy_msa.11.fas', 21.835, 28.803, 16.627, 21.502
'bali_phy_msa.110.fas', 22.811, 29.959, 18.273, 22.902
'bali_phy_msa.111.fas', 19.918, 26.612, 16.363, 19.319
'bali_phy_msa.112.fas', 21.458, 28.301, 18.654, 20.724
'bali_phy_msa.113.fas', 20.6, 27.537, 17.275, 19.696
'bali_phy_msa.114.fas', 21.338, 28.619, 16.251, 21.02
'bali_phy_msa.115.fas', 23.404, 31.004, 16.89, 23.73
'bali_phy_msa.116.fas', 22.594, 29.949, 17.92, 21.657
'bali_phy_msa.117.fas', 17.917, 24.053, 14.623, 16.535
'bali_phy_msa.118.fas', 21.944, 29.132, 16.022, 21.449
'bali_phy_msa.119.fas', 21.826, 28.988, 17.626, 21.066
'bali_phy_msa.12.fas', 23.347, 30.852, 16.934, 22.507
'bali_phy_msa.120.fas', 21.125, 27.934, 17.3, 20.348
'bali_phy_msa.121.fas', 21.396, 28.101, 17.1, 19.998
'bali_phy_msa.122.fas', 23.238, 30.546, 16.849, 23.234
'bali_phy_msa.123.fas', 21.314, 28.204, 15.59, 21.811
'bali_phy_msa.124.fas', 19.357, 25.715, 15.035, 18.366
'bali_phy_msa.125.fas', 22.74, 29.801, 21.318, 21.703
'bali_phy_msa.126.fas', 19.713, 26.165, 16.77, 18.987
'bali_phy_msa.127.fas', 21.624, 28.517, 16.194, 21.716
'bali_phy_msa.128.fas', 23.139, 30.589, 17.309, 21.627
'bali_phy_msa.129.fas', 22.443, 29.509, 16.524, 22.171
'bali_phy_msa.13.fas', 22.893, 30.432, 17.84, 23.007
'bali_phy_msa.130.fas', 21.347, 28.571, 17.544, 20.928
'bali_phy_msa.131.fas', 21.385, 28.654, 16.513, 20.947
'bali_phy_msa.132.fas', 22.098, 29.079, 18.281, 21.596
'bali_phy_msa.133.fas', 21.58, 28.573, 16.955, 20.101
'bali_phy_msa.134.fas', 21.898, 29.262, 17.815, 21.62
'bali_phy_msa.135.fas', 22.997, 30.173, 19.024, 22.222
'bali_phy_msa.136.fas', 22.162, 29.422, 16.888, 22.381
'bali_phy_msa.137.fas', 22.382, 29.439, 17.471, 22.035
'bali_phy_msa.138.fas', 21.495, 28.527, 18.027, 21.21
'bali_phy_msa.139.fas', 20.763, 27.38, 16.798, 20.657
'bali_phy_msa.14.fas', 23.694, 31.451, 17.879, 23.892
'bali_phy_msa.140.fas', 22.063, 29.206, 16.634, 22.597
'bali_phy_msa.141.fas', 21.262, 28.115, 18.808, 20.575
'bali_phy_msa.142.fas', 24.477, 32.216, 18.782, 24.746
'bali_phy_msa.143.fas', 23.58, 31.28, 19.238, 23.08
'bali_phy_msa.144.fas', 20.772, 27.684, 16.347, 19.973
'bali_phy_msa.145.fas', 18.71, 24.831, 15.571, 17.826
'bali_phy_msa.146.fas', 22.59, 29.899, 16.422, 22.192
'bali_phy_msa.147.fas', 21.448, 28.437, 20.532, 21.062
'bali_phy_msa.148.fas', 20.592, 27.532, 16.763, 19.99
'bali_phy_msa.149.fas', 20.584, 27.538, 16.95, 20.462
'bali_phy_msa.15.fas', 21.579, 28.566, 16.912, 21.296
'bali_phy_msa.150.fas', 18.39, 24.915, 13.296, 17.56
'bali_phy_msa.151.fas', 16.212, 21.985, 14.483, 15.479
'bali_phy_msa.152.fas', 22.323, 29.369, 18.33, 21.548
'bali_phy_msa.153.fas', 21.711, 29.138, 15.314, 21.787
'bali_phy_msa.154.fas', 20.813, 27.646, 16.513, 20.251
'bali_phy_msa.155.fas', 21.383, 28.382, 18.298, 21.351
'bali_phy_msa.156.fas', 22.599, 29.719, 19.27, 22.47
'bali_phy_msa.157.fas', 20.45, 27.468, 16.4, 20.55
'bali_phy_msa.158.fas', 19.633, 26.64, 16.619, 18.972
'bali_phy_msa.159.fas', 21.104, 27.946, 17.712, 20.981
'bali_phy_msa.16.fas', 20.494, 27.204, 16.565, 19.639
'bali_phy_msa.160.fas', 23.073, 30.634, 18.887, 22.604
'bali_phy_msa.161.fas', 22.707, 30.134, 19.213, 22.649
'bali_phy_msa.162.fas', 23.428, 31.074, 20.158, 23.075
'bali_phy_msa.163.fas', 19.762, 26.285, 16.087, 18.806
'bali_phy_msa.164.fas', 21.115, 28.17, 17.44, 20.404
'bali_phy_msa.165.fas', 23.698, 31.176, 17.302, 23.307
'bali_phy_msa.166.fas', 19.834, 26.414, 16.283, 18.667
'bali_phy_msa.167.fas', 18.504, 24.69, 15.389, 17.777
'bali_phy_msa.168.fas', 20.453, 27.396, 16.76, 19.859
'bali_phy_msa.169.fas', 17.573, 23.893, 13.132, 17.127
