code_PAM250_GO_-10_GE_-1,sp_HENIKOFF_with_gaps_PAM250_GO_-10_GE_-1,sp_HENIKOFF_without_gaps_PAM250_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_mid_root_PAM250_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_diff_sum_PAM250_GO_-10_GE_-1
'bali_phy_msa.177.fas', -12.581, -9.222, -14.617, -16.999
'bali_phy_msa.178.fas', -8.973, -4.815, -11.362, -12.385
'bali_phy_msa.179.fas', -7.959, -3.494, -8.357, -11.506
'bali_phy_msa.18.fas', -8.808, -4.743, -11.303, -12.153
'bali_phy_msa.180.fas', -13.067, -9.822, -15.04, -16.901
'bali_phy_msa.181.fas', -10.848, -7.016, -11.961, -15.414
'bali_phy_msa.182.fas', -10.239, -6.59, -11.004, -14.719
'bali_phy_msa.183.fas', -9.488, -5.057, -12.864, -13.312
'bali_phy_msa.184.fas', -8.35, -4.17, -10.114, -13.378
'bali_phy_msa.185.fas', -11.767, -7.977, -14.517, -15.39
'bali_phy_msa.186.fas', -9.929, -6.065, -11.792, -14.096
'bali_phy_msa.187.fas', -8.53, -4.49, -11.017, -12.765
'bali_phy_msa.188.fas', -10.471, -6.649, -11.417, -14.615
'bali_phy_msa.189.fas', -9.734, -5.733, -12.996, -13.118
'bali_phy_msa.19.fas', -12.561, -8.992, -12.67, -17.014
'bali_phy_msa.190.fas', -12.16, -8.787, -14.658, -15.508
'bali_phy_msa.191.fas', -13.464, -10.388, -15.558, -18.613
'bali_phy_msa.192.fas', -9.133, -4.593, -10.196, -13.395
'bali_phy_msa.193.fas', -9.963, -6.055, -13.855, -14.735
'bali_phy_msa.194.fas', -10.169, -6.334, -11.136, -14.432
'bali_phy_msa.195.fas', -9.207, -5.013, -9.995, -11.984
'bali_phy_msa.196.fas', -10.008, -5.763, -11.938, -13.673
'bali_phy_msa.197.fas', -9.242, -5.018, -10.507, -13.561
'bali_phy_msa.198.fas', -7.926, -3.835, -8.769, -12.457
'bali_phy_msa.199.fas', -13.967, -11.027, -13.042, -18.456
'bali_phy_msa.2.fas', -12.652, -9.577, -11.77, -16.748
'bali_phy_msa.20.fas', -11.166, -7.776, -11.1, -15.226
'bali_phy_msa.200.fas', -11.282, -7.255, -10.945, -15.133
'bali_phy_msa.201.fas', -9.741, -5.648, -9.845, -13.913
'bali_phy_msa.202.fas', -12.41, -9.128, -9.744, -17.564
'bali_phy_msa.203.fas', -8.808, -4.655, -9.608, -12.915
'bali_phy_msa.204.fas', -12.312, -8.884, -15.313, -16.522
'bali_phy_msa.205.fas', -10.574, -6.752, -11.545, -13.831
'bali_phy_msa.206.fas', -11.967, -8.783, -10.827, -16.779
'bali_phy_msa.207.fas', -16.562, -13.704, -16.325, -20.644
'bali_phy_msa.208.fas', -18.61, -16.355, -19.351, -23.528
'bali_phy_msa.209.fas', -10.964, -7.343, -10.967, -15.246
'bali_phy_msa.21.fas', -8.674, -4.587, -8.769, -12.458
'bali_phy_msa.210.fas', -9.137, -5.544, -9.895, -13.829
'bali_phy_msa.211.fas', -12.554, -9.455, -12.353, -17.345
'bali_phy_msa.212.fas', -9.541, -5.489, -12.44, -12.015
'bali_phy_msa.213.fas', -10.062, -6.384, -11.276, -14.946
'bali_phy_msa.214.fas', -9.706, -5.711, -9.873, -14.049
'bali_phy_msa.215.fas', -11.724, -8.343, -12.7, -16.044
'bali_phy_msa.216.fas', -12.364, -8.976, -13.241, -17.791
'bali_phy_msa.217.fas', -7.091, -2.474, -10.325, -11.392
'bali_phy_msa.218.fas', -9.647, -5.679, -11.837, -13.083
'bali_phy_msa.219.fas', -10.858, -6.876, -12.203, -14.658
'bali_phy_msa.22.fas', -8.337, -4.114, -9.912, -12.718
'bali_phy_msa.220.fas', -10.495, -6.8, -12.257, -14.116
'bali_phy_msa.221.fas', -8.932, -4.866, -9.255, -12.726
'bali_phy_msa.222.fas', -9.407, -5.465, -9.841, -13.225
'bali_phy_msa.223.fas', -12.317, -8.59, -13.088, -16.476
'bali_phy_msa.224.fas', -10.656, -7.178, -11.213, -15.008
'bali_phy_msa.225.fas', -13.056, -9.815, -13.951, -17.824
'bali_phy_msa.226.fas', -9.154, -4.999, -10.49, -13.489
'bali_phy_msa.227.fas', -14.562, -11.502, -14.691, -19.116
'bali_phy_msa.228.fas', -11.144, -7.385, -11.838, -15.35
'bali_phy_msa.229.fas', -9.801, -5.941, -10.442, -13.6
'bali_phy_msa.23.fas', -10.034, -5.926, -11.046, -13.42
'bali_phy_msa.230.fas', -9.04, -4.918, -9.653, -13.383
'bali_phy_msa.231.fas', -10.536, -6.656, -11.993, -14.277
'bali_phy_msa.232.fas', -10.676, -7.034, -13.045, -15.082
'bali_phy_msa.233.fas', -9.204, -5.122, -7.621, -15.903
'bali_phy_msa.234.fas', -9.671, -5.61, -12.131, -14.017
'bali_phy_msa.235.fas', -9.47, -5.404, -11.872, -14.073
'bali_phy_msa.236.fas', -10.954, -7.303, -13.293, -15.192
'bali_phy_msa.237.fas', -10.344, -6.655, -14.025, -14.276
'bali_phy_msa.238.fas', -9.528, -5.549, -13.115, -13.473
'bali_phy_msa.239.fas', -10.175, -6.281, -11.14, -13.669
'bali_phy_msa.24.fas', -8.418, -3.997, -9.149, -12.433
'bali_phy_msa.240.fas', -8.997, -5.0, -9.752, -13.337
'bali_phy_msa.241.fas', -11.166, -7.664, -8.557, -16.466
'bali_phy_msa.242.fas', -11.235, -7.681, -12.749, -15.521
'bali_phy_msa.243.fas', -8.885, -4.431, -10.323, -13.671
'bali_phy_msa.244.fas', -9.615, -6.04, -9.563, -14.407
'bali_phy_msa.245.fas', -8.783, -4.306, -11.287, -12.688
'bali_phy_msa.246.fas', -7.776, -3.469, -8.909, -12.164
'bali_phy_msa.247.fas', -11.693, -8.329, -12.299, -14.871
