code_BLOSUM62_GO_-10_GE_-1,sp_HENIKOFF_with_gaps_BLOSUM62_GO_-10_GE_-1,sp_HENIKOFF_without_gaps_BLOSUM62_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_mid_root_BLOSUM62_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_diff_sum_BLOSUM62_GO_-10_GE_-1
'bali_phy_msa.176.fas', 92.692, 81.67, 844.07, 732.024
'bali_phy_msa.177.fas', 91.278, 80.049, 919.699, 705.305
'bali_phy_msa.178.fas', 92.599, 81.902, 871.294, 754.948
'bali_phy_msa.179.fas', 89.877, 78.533, 810.111, 676.756
'bali_phy_msa.18.fas', 92.655, 81.323, 918.091, 725.653
'bali_phy_msa.180.fas', 90.525, 79.119, 953.435, 711.86
'bali_phy_msa.181.fas', 91.18, 80.263, 895.684, 728.432
'bali_phy_msa.182.fas', 92.71, 81.96, 921.91, 729.559
'bali_phy_msa.183.fas', 92.919, 82.266, 939.142, 734.801
'bali_phy_msa.184.fas', 93.233, 82.737, 995.982, 752.056
'bali_phy_msa.185.fas', 91.287, 80.281, 897.253, 705.66
'bali_phy_msa.186.fas', 93.109, 82.387, 864.324, 751.549
'bali_phy_msa.187.fas', 91.884, 80.589, 889.24, 708.496
'bali_phy_msa.188.fas', 91.506, 80.504, 883.32, 704.154
'bali_phy_msa.189.fas', 90.794, 79.861, 930.113, 714.694
'bali_phy_msa.19.fas', 92.52, 81.711, 997.228, 737.388
'bali_phy_msa.190.fas', 92.609, 81.844, 882.732, 747.496
'bali_phy_msa.191.fas', 92.158, 81.879, 957.589, 751.504
'bali_phy_msa.192.fas', 90.685, 79.801, 820.74, 708.707
'bali_phy_msa.193.fas', 93.84, 83.555, 963.601, 762.631
'bali_phy_msa.194.fas', 87.316, 76.108, 835.778, 665.082
'bali_phy_msa.195.fas', 93.027, 82.306, 846.267, 740.953
'bali_phy_msa.196.fas', 95.586, 85.942, 920.039, 793.904
'bali_phy_msa.197.fas', 93.101, 82.516, 923.819, 729.414
'bali_phy_msa.198.fas', 92.257, 81.22, 974.982, 724.151
'bali_phy_msa.199.fas', 92.849, 82.648, 943.384, 741.008
'bali_phy_msa.2.fas', 87.586, 75.186, 817.789, 623.024
'bali_phy_msa.20.fas', 94.206, 83.86, 924.127, 767.501
'bali_phy_msa.200.fas', 93.325, 82.578, 876.442, 750.207
'bali_phy_msa.201.fas', 92.423, 81.85, 931.826, 732.335
'bali_phy_msa.202.fas', 93.258, 82.484, 968.578, 740.418
'bali_phy_msa.203.fas', 91.388, 80.339, 785.897, 714.088
'bali_phy_msa.204.fas', 90.226, 79.13, 808.664, 704.215
'bali_phy_msa.205.fas', 90.434, 79.257, 879.792, 703.599
'bali_phy_msa.206.fas', 93.49, 82.801, 933.77, 755.71
'bali_phy_msa.207.fas', 93.082, 82.365, 856.01, 742.477
'bali_phy_msa.208.fas', 95.008, 84.483, 967.519, 771.904
'bali_phy_msa.209.fas', 91.811, 81.012, 860.188, 731.595
'bali_phy_msa.21.fas', 91.336, 80.095, 908.378, 719.587
'bali_phy_msa.210.fas', 94.099, 83.579, 957.946, 757.136
'bali_phy_msa.211.fas', 96.149, 86.231, 1019.11, 797.107
'bali_phy_msa.212.fas', 93.263, 82.673, 938.724, 756.342
'bali_phy_msa.213.fas', 91.353, 80.787, 966.582, 731.584
'bali_phy_msa.214.fas', 93.453, 82.694, 984.193, 754.652
'bali_phy_msa.215.fas', 90.761, 79.304, 853.762, 690.445
'bali_phy_msa.216.fas', 93.894, 83.429, 922.813, 748.83
'bali_phy_msa.217.fas', 92.929, 81.84, 888.353, 728.678
'bali_phy_msa.218.fas', 91.15, 80.395, 935.868, 728.308
'bali_phy_msa.219.fas', 94.599, 84.358, 958.269, 764.771
'bali_phy_msa.22.fas', 91.543, 80.657, 949.635, 703.538
'bali_phy_msa.220.fas', 91.372, 80.291, 892.095, 719.101
'bali_phy_msa.221.fas', 90.415, 78.948, 845.984, 697.805
'bali_phy_msa.222.fas', 94.453, 84.221, 965.096, 767.91
'bali_phy_msa.223.fas', 91.496, 80.611, 916.891, 723.994
'bali_phy_msa.224.fas', 94.847, 84.561, 917.65, 761.153
'bali_phy_msa.225.fas', 93.761, 83.428, 951.067, 763.454
'bali_phy_msa.226.fas', 93.024, 82.22, 895.471, 738.645
'bali_phy_msa.227.fas', 94.234, 83.787, 945.236, 762.255
'bali_phy_msa.228.fas', 94.275, 83.786, 1008.072, 766.335
'bali_phy_msa.229.fas', 92.083, 81.128, 868.309, 738.062
'bali_phy_msa.23.fas', 93.091, 81.95, 871.851, 732.219
'bali_phy_msa.230.fas', 93.256, 82.85, 940.911, 739.188
'bali_phy_msa.231.fas', 93.674, 83.174, 922.935, 742.552
'bali_phy_msa.232.fas', 91.746, 81.05, 957.823, 736.821
