code_K20,k_mer_max_K20,k_mer_average_K20,k_mer_95_pct_K20,k_mer_90_pct_K20,kmer_sum_of_top_10_K20
'bali_phy_msa.1.fas', 4448, 1.342, 1, 1, 4622
'bali_phy_msa.10.fas', 36459, 3.21, 5, 3, 37981
'bali_phy_msa.100.fas', 39593, 3.414, 5, 3, 41092
'bali_phy_msa.101.fas', 38156, 3.346, 5, 3, 39644
'bali_phy_msa.102.fas', 39383, 3.34, 5, 3, 41102
'bali_phy_msa.103.fas', 42604, 3.275, 5, 2, 44192
'bali_phy_msa.104.fas', 36490, 3.285, 5, 3, 37945
'bali_phy_msa.105.fas', 39353, 3.201, 5, 3, 40818
'bali_phy_msa.106.fas', 39782, 3.384, 5, 3, 41682
'bali_phy_msa.107.fas', 37285, 3.276, 5, 3, 38884
'bali_phy_msa.108.fas', 38123, 3.389, 6, 3, 39824
'bali_phy_msa.109.fas', 42388, 3.298, 5, 2, 43888
'bali_phy_msa.11.fas', 34216, 3.343, 5, 3, 36030
'bali_phy_msa.110.fas', 39131, 3.327, 6, 3, 40742
'bali_phy_msa.111.fas', 39256, 3.313, 5, 3, 40783
'bali_phy_msa.112.fas', 39345, 3.331, 5, 2, 41043
'bali_phy_msa.113.fas', 39388, 3.267, 5, 2, 41111
'bali_phy_msa.114.fas', 39525, 3.33, 5, 3, 41163
'bali_phy_msa.115.fas', 37838, 3.355, 5, 3, 39453
'bali_phy_msa.116.fas', 39557, 3.445, 6, 3, 41044
'bali_phy_msa.117.fas', 38177, 3.289, 5, 3, 39891
'bali_phy_msa.118.fas', 40275, 3.275, 5, 3, 41700
'bali_phy_msa.119.fas', 39031, 3.331, 5, 3, 40739
'bali_phy_msa.12.fas', 38262, 3.431, 5, 2, 39715
'bali_phy_msa.120.fas', 38338, 3.434, 6, 3, 39974
'bali_phy_msa.121.fas', 35845, 3.365, 5, 3, 37628
'bali_phy_msa.122.fas', 37800, 3.248, 5, 3, 39609
'bali_phy_msa.123.fas', 39450, 3.402, 5, 3, 41089
'bali_phy_msa.124.fas', 37690, 3.343, 6, 3, 39140
'bali_phy_msa.125.fas', 36801, 3.334, 6, 3, 38532
'bali_phy_msa.126.fas', 37037, 3.226, 5, 2, 38620
'bali_phy_msa.127.fas', 37374, 3.22, 5, 3, 38961
'bali_phy_msa.128.fas', 35870, 3.415, 6, 3, 37445
'bali_phy_msa.129.fas', 39123, 3.289, 5, 3, 40728
'bali_phy_msa.13.fas', 38561, 3.327, 5, 2, 40315
'bali_phy_msa.130.fas', 42441, 3.412, 5, 3, 43948
'bali_phy_msa.131.fas', 40239, 3.325, 5, 2, 41805
'bali_phy_msa.132.fas', 35390, 3.302, 5, 2, 37091
'bali_phy_msa.133.fas', 36977, 3.326, 5, 3, 38625
'bali_phy_msa.134.fas', 39879, 3.3, 5, 3, 41338
'bali_phy_msa.135.fas', 36381, 3.372, 5, 3, 38032
'bali_phy_msa.136.fas', 37265, 3.337, 6, 3, 38848
'bali_phy_msa.137.fas', 38610, 3.306, 5, 3, 40465
'bali_phy_msa.138.fas', 35818, 3.357, 5, 2, 37416
'bali_phy_msa.139.fas', 39362, 3.308, 5, 3, 40845
'bali_phy_msa.14.fas', 35356, 3.357, 6, 3, 37179
'bali_phy_msa.140.fas', 41347, 3.268, 5, 2, 42807
'bali_phy_msa.141.fas', 41297, 3.319, 5, 2, 42965
'bali_phy_msa.142.fas', 36618, 3.285, 5, 2, 38301
'bali_phy_msa.143.fas', 35968, 3.351, 5, 2, 37729
'bali_phy_msa.144.fas', 40026, 3.317, 5, 2, 41561
'bali_phy_msa.145.fas', 41413, 3.346, 5, 2, 42816
'bali_phy_msa.146.fas', 39511, 3.402, 5, 3, 40953
'bali_phy_msa.147.fas', 36312, 3.361, 6, 3, 37874
'bali_phy_msa.148.fas', 37968, 3.334, 5, 3, 39510
'bali_phy_msa.149.fas', 38860, 3.303, 5, 3, 40508
'bali_phy_msa.15.fas', 40203, 3.413, 5, 3, 41845
'bali_phy_msa.150.fas', 39829, 3.311, 5, 3, 41223
'bali_phy_msa.151.fas', 36159, 3.201, 5, 3, 37787
'bali_phy_msa.152.fas', 40075, 3.29, 5, 3, 41852
'bali_phy_msa.153.fas', 37321, 3.257, 5, 3, 38919
'bali_phy_msa.154.fas', 37544, 3.378, 5, 3, 39028
'bali_phy_msa.155.fas', 39774, 3.43, 5, 2, 41268
'bali_phy_msa.156.fas', 39784, 3.332, 5, 3, 41507
'bali_phy_msa.157.fas', 42556, 3.347, 5, 3, 43988
'bali_phy_msa.158.fas', 37372, 3.411, 6, 3, 38819
'bali_phy_msa.159.fas', 40002, 3.321, 4, 2, 41512
'bali_phy_msa.16.fas', 39165, 3.366, 5, 3, 41052
'bali_phy_msa.160.fas', 39196, 3.24, 5, 3, 40793
'bali_phy_msa.161.fas', 40423, 3.39, 5, 3, 42002
'bali_phy_msa.162.fas', 34033, 3.339, 6, 3, 35718
'bali_phy_msa.163.fas', 42681, 3.361, 5, 2, 44221
'bali_phy_msa.164.fas', 40225, 3.293, 5, 3, 41744
'bali_phy_msa.165.fas', 38429, 3.402, 6, 3, 39976
'bali_phy_msa.166.fas', 37049, 3.389, 5, 3, 38760
'bali_phy_msa.167.fas', 37248, 3.37, 5, 3, 38939
'bali_phy_msa.168.fas', 36939, 3.344, 6, 3, 38550
'bali_phy_msa.169.fas', 38924, 3.439, 5, 2, 40757
'bali_phy_msa.17.fas', 37116, 3.299, 5, 3, 38606
'bali_phy_msa.170.fas', 36745, 3.368, 6, 3, 38699
'bali_phy_msa.171.fas', 35646, 3.311, 5, 3, 37485
'bali_phy_msa.172.fas', 38406, 3.34, 6, 3, 39944
'bali_phy_msa.173.fas', 36228, 3.302, 5, 3, 37704
'bali_phy_msa.174.fas', 40319, 3.375, 5, 3, 41813
'bali_phy_msa.175.fas', 39257, 3.358, 6, 3, 40927
'bali_phy_msa.176.fas', 37292, 3.365, 6, 3, 38863
'bali_phy_msa.177.fas', 41379, 3.363, 5, 2, 43021
'bali_phy_msa.178.fas', 37339, 3.223, 5, 3, 38798
'bali_phy_msa.179.fas', 40787, 3.363, 5, 3, 42513
'bali_phy_msa.18.fas', 41429, 3.382, 5, 3, 42953
'bali_phy_msa.180.fas', 39116, 3.339, 5, 3, 40785
'bali_phy_msa.181.fas', 37020, 3.342, 5, 3, 38322
'bali_phy_msa.182.fas', 39730, 3.374, 5, 3, 41305
'bali_phy_msa.183.fas', 39138, 3.329, 5, 3, 40800
'bali_phy_msa.184.fas', 37156, 3.265, 6, 3, 38624
'bali_phy_msa.185.fas', 37468, 3.42, 5, 3, 39212
'bali_phy_msa.186.fas', 40543, 3.248, 5, 2, 42184
'bali_phy_msa.187.fas', 39598, 3.419, 5, 3, 41376
'bali_phy_msa.188.fas', 40426, 3.415, 5, 3, 41954
'bali_phy_msa.189.fas', 37335, 3.373, 5, 2, 38810
'bali_phy_msa.19.fas', 39347, 3.275, 5, 3, 40935
'bali_phy_msa.190.fas', 39305, 3.301, 5, 3, 40909
'bali_phy_msa.191.fas', 40528, 3.311, 5, 2, 42090
'bali_phy_msa.192.fas', 36806, 3.281, 5, 3, 39053
'bali_phy_msa.193.fas', 36505, 3.292, 5, 2, 38205
'bali_phy_msa.194.fas', 36000, 3.331, 5, 3, 37659
'bali_phy_msa.195.fas', 38989, 3.388, 5, 3, 40540
'bali_phy_msa.196.fas', 33673, 3.245, 5, 3, 35334
'bali_phy_msa.197.fas', 37742, 3.35, 6, 3, 39392
'bali_phy_msa.198.fas', 39419, 3.31, 5, 2, 41049
'bali_phy_msa.199.fas', 36637, 3.367, 6, 3, 38289
'bali_phy_msa.2.fas', 41793, 3.469, 5, 3, 43659
'bali_phy_msa.20.fas', 34176, 3.332, 6, 3, 35934
'bali_phy_msa.200.fas', 39073, 3.245, 5, 2, 40614
'bali_phy_msa.201.fas', 37324, 3.35, 5, 3, 39101
'bali_phy_msa.202.fas', 40222, 3.345, 6, 3, 41866
'bali_phy_msa.203.fas', 37545, 3.398, 5, 3, 39372
'bali_phy_msa.204.fas', 37463, 3.322, 5, 3, 39329
'bali_phy_msa.205.fas', 39571, 3.299, 5, 3, 41196
'bali_phy_msa.206.fas', 40101, 3.302, 5, 2, 41557
'bali_phy_msa.207.fas', 37036, 3.234, 6, 3, 38696
'bali_phy_msa.208.fas', 40233, 3.384, 5, 3, 41917
'bali_phy_msa.209.fas', 38335, 3.362, 5, 3, 40140
'bali_phy_msa.21.fas', 35365, 3.35, 6, 3, 37105
'bali_phy_msa.210.fas', 41250, 3.293, 5, 2, 42705
'bali_phy_msa.211.fas', 40137, 3.261, 4, 2, 41681
'bali_phy_msa.212.fas', 38207, 3.371, 5, 2, 40085
'bali_phy_msa.213.fas', 39744, 3.315, 5, 2, 41272
'bali_phy_msa.214.fas', 39316, 3.326, 5, 2, 40984
'bali_phy_msa.215.fas', 42041, 3.423, 5, 2, 43595
'bali_phy_msa.216.fas', 38091, 3.374, 6, 3, 39773
'bali_phy_msa.217.fas', 38193, 3.42, 5, 2, 39724
