code,constant_sites_pct,n_unique_sites,entropy_mean,entropy_25_pct,entropy_75_pct,entropy_sum,entropy_max
'bali_phy_msa.190.fas', 0.829, 801, 0.179, 0.0, 0.0, 269.507, 2.56
'bali_phy_msa.191.fas', 0.824, 803, 0.184, 0.0, 0.0, 275.56, 2.594
'bali_phy_msa.192.fas', 0.826, 805, 0.18, 0.0, 0.0, 274.384, 2.594
'bali_phy_msa.193.fas', 0.828, 796, 0.181, 0.0, 0.0, 270.874, 2.602
'bali_phy_msa.194.fas', 0.829, 822, 0.178, 0.0, 0.0, 273.744, 2.61
'bali_phy_msa.195.fas', 0.829, 798, 0.178, 0.0, 0.0, 269.967, 2.602
'bali_phy_msa.196.fas', 0.825, 791, 0.184, 0.0, 0.0, 272.71, 2.58
'bali_phy_msa.197.fas', 0.83, 790, 0.178, 0.0, 0.0, 270.873, 2.575
'bali_phy_msa.198.fas', 0.83, 799, 0.177, 0.0, 0.0, 270.938, 2.602
'bali_phy_msa.199.fas', 0.829, 802, 0.178, 0.0, 0.0, 269.945, 2.602
'bali_phy_msa.2.fas', 0.849, 774, 0.162, 0.0, 0.0, 257.051, 2.575
'bali_phy_msa.20.fas', 0.826, 798, 0.182, 0.0, 0.0, 272.187, 2.572
'bali_phy_msa.200.fas', 0.827, 806, 0.181, 0.0, 0.0, 273.716, 2.575
'bali_phy_msa.201.fas', 0.827, 807, 0.179, 0.0, 0.0, 271.292, 2.596
'bali_phy_msa.202.fas', 0.83, 803, 0.177, 0.0, 0.0, 269.82, 2.602
'bali_phy_msa.203.fas', 0.828, 805, 0.178, 0.0, 0.0, 271.872, 2.61
'bali_phy_msa.204.fas', 0.829, 804, 0.178, 0.0, 0.0, 271.948, 2.574
'bali_phy_msa.205.fas', 0.832, 812, 0.176, 0.0, 0.0, 270.406, 2.583
'bali_phy_msa.206.fas', 0.828, 791, 0.18, 0.0, 0.0, 271.768, 2.602
'bali_phy_msa.207.fas', 0.828, 802, 0.18, 0.0, 0.0, 271.754, 2.614
'bali_phy_msa.208.fas', 0.83, 793, 0.178, 0.0, 0.0, 269.153, 2.575
'bali_phy_msa.209.fas', 0.831, 799, 0.178, 0.0, 0.0, 269.329, 2.577
'bali_phy_msa.21.fas', 0.832, 800, 0.176, 0.0, 0.0, 268.8, 2.61
'bali_phy_msa.210.fas', 0.827, 797, 0.181, 0.0, 0.0, 273.137, 2.594
'bali_phy_msa.211.fas', 0.827, 792, 0.181, 0.0, 0.0, 270.816, 2.602
'bali_phy_msa.212.fas', 0.83, 801, 0.178, 0.0, 0.0, 269.79, 2.596
'bali_phy_msa.213.fas', 0.826, 804, 0.181, 0.0, 0.0, 274.043, 2.583
'bali_phy_msa.214.fas', 0.829, 794, 0.178, 0.0, 0.0, 267.996, 2.602
'bali_phy_msa.215.fas', 0.834, 801, 0.174, 0.0, 0.0, 269.161, 2.61
'bali_phy_msa.216.fas', 0.83, 794, 0.178, 0.0, 0.0, 269.209, 2.594
'bali_phy_msa.217.fas', 0.83, 797, 0.177, 0.0, 0.0, 270.33, 2.602
'bali_phy_msa.218.fas', 0.825, 804, 0.182, 0.0, 0.0, 275.376, 2.602
'bali_phy_msa.219.fas', 0.827, 798, 0.181, 0.0, 0.0, 272.299, 2.602
'bali_phy_msa.22.fas', 0.83, 813, 0.176, 0.0, 0.0, 270.884, 2.61
'bali_phy_msa.220.fas', 0.828, 802, 0.178, 0.0, 0.0, 271.562, 2.594
'bali_phy_msa.221.fas', 0.831, 811, 0.176, 0.0, 0.0, 270.091, 2.543
'bali_phy_msa.222.fas', 0.828, 788, 0.182, 0.0, 0.0, 270.829, 2.612
'bali_phy_msa.223.fas', 0.828, 794, 0.18, 0.0, 0.0, 272.676, 2.612
'bali_phy_msa.224.fas', 0.828, 796, 0.179, 0.0, 0.0, 270.004, 2.596
'bali_phy_msa.225.fas', 0.83, 798, 0.179, 0.0, 0.0, 269.297, 2.583
'bali_phy_msa.226.fas', 0.832, 801, 0.177, 0.0, 0.0, 268.052, 2.61
'bali_phy_msa.227.fas', 0.825, 806, 0.181, 0.0, 0.0, 273.277, 2.583
'bali_phy_msa.228.fas', 0.829, 801, 0.179, 0.0, 0.0, 270.212, 2.602
'bali_phy_msa.229.fas', 0.825, 797, 0.181, 0.0, 0.0, 274.531, 2.575
'bali_phy_msa.23.fas', 0.831, 801, 0.176, 0.0, 0.0, 269.133, 2.602
'bali_phy_msa.230.fas', 0.828, 797, 0.179, 0.0, 0.0, 271.351, 2.612
'bali_phy_msa.231.fas', 0.83, 802, 0.178, 0.0, 0.0, 268.942, 2.582
'bali_phy_msa.232.fas', 0.823, 809, 0.183, 0.0, 0.0, 276.869, 2.604
'bali_phy_msa.233.fas', 0.83, 806, 0.176, 0.0, 0.0, 268.628, 2.602
'bali_phy_msa.234.fas', 0.829, 807, 0.179, 0.0, 0.0, 269.9, 2.602
'bali_phy_msa.235.fas', 0.826, 797, 0.18, 0.0, 0.0, 271.902, 2.602
'bali_phy_msa.236.fas', 0.823, 800, 0.185, 0.0, 0.0, 275.326, 2.612
'bali_phy_msa.237.fas', 0.828, 796, 0.181, 0.0, 0.0, 271.118, 2.594
'bali_phy_msa.238.fas', 0.831, 821, 0.176, 0.0, 0.0, 271.103, 2.596
'bali_phy_msa.239.fas', 0.827, 799, 0.18, 0.0, 0.0, 272.555, 2.602
'bali_phy_msa.24.fas', 0.83, 803, 0.177, 0.0, 0.0, 270.488, 2.602
'bali_phy_msa.240.fas', 0.827, 792, 0.18, 0.0, 0.0, 272.138, 2.602
'bali_phy_msa.241.fas', 0.822, 789, 0.186, 0.0, 0.0, 276.549, 2.612
'bali_phy_msa.242.fas', 0.831, 791, 0.177, 0.0, 0.0, 269.042, 2.602
'bali_phy_msa.243.fas', 0.824, 807, 0.183, 0.0, 0.0, 275.594, 2.602
'bali_phy_msa.244.fas', 0.828, 801, 0.178, 0.0, 0.0, 273.15, 2.573
'bali_phy_msa.245.fas', 0.832, 803, 0.176, 0.0, 0.0, 270.374, 2.592
'bali_phy_msa.246.fas', 0.827, 800, 0.179, 0.0, 0.0, 272.046, 2.602
'bali_phy_msa.247.fas', 0.822, 801, 0.183, 0.0, 0.0, 275.995, 2.575
'bali_phy_msa.248.fas', 0.833, 796, 0.175, 0.0, 0.0, 267.702, 2.563
'bali_phy_msa.249.fas', 0.828, 798, 0.179, 0.0, 0.0, 271.635, 2.575
'bali_phy_msa.25.fas', 0.828, 795, 0.181, 0.0, 0.0, 271.347, 2.602
'bali_phy_msa.250.fas', 0.827, 802, 0.18, 0.0, 0.0, 272.172, 2.594
'bali_phy_msa.251.fas', 0.831, 804, 0.176, 0.0, 0.0, 268.35, 2.612
'bali_phy_msa.252.fas', 0.829, 803, 0.178, 0.0, 0.0, 269.235, 2.612
'bali_phy_msa.253.fas', 0.831, 798, 0.176, 0.0, 0.0, 269.797, 2.583
'bali_phy_msa.254.fas', 0.826, 803, 0.181, 0.0, 0.0, 274.688, 2.612
'bali_phy_msa.255.fas', 0.826, 796, 0.181, 0.0, 0.0, 274.167, 2.604
'bali_phy_msa.256.fas', 0.825, 802, 0.181, 0.0, 0.0, 273.08, 2.596
'bali_phy_msa.257.fas', 0.831, 797, 0.177, 0.0, 0.0, 269.606, 2.612
'bali_phy_msa.258.fas', 0.826, 803, 0.181, 0.0, 0.0, 272.365, 2.602
'bali_phy_msa.259.fas', 0.83, 798, 0.177, 0.0, 0.0, 269.704, 2.602
'bali_phy_msa.26.fas', 0.828, 790, 0.18, 0.0, 0.0, 270.219, 2.575
'bali_phy_msa.260.fas', 0.828, 800, 0.178, 0.0, 0.0, 273.372, 2.583
'bali_phy_msa.261.fas', 0.834, 799, 0.175, 0.0, 0.0, 266.992, 2.583
'bali_phy_msa.262.fas', 0.825, 810, 0.181, 0.0, 0.0, 273.495, 2.602
'bali_phy_msa.263.fas', 0.827, 799, 0.18, 0.0, 0.0, 272.774, 2.612
'bali_phy_msa.264.fas', 0.834, 812, 0.173, 0.0, 0.0, 269.05, 2.602
'bali_phy_msa.265.fas', 0.829, 793, 0.18, 0.0, 0.0, 268.999, 2.577
'bali_phy_msa.266.fas', 0.825, 803, 0.182, 0.0, 0.0, 275.213, 2.602
'bali_phy_msa.267.fas', 0.827, 795, 0.18, 0.0, 0.0, 271.949, 2.602
'bali_phy_msa.268.fas', 0.831, 811, 0.177, 0.0, 0.0, 272.556, 2.574
'bali_phy_msa.269.fas', 0.825, 799, 0.181, 0.0, 0.0, 272.935, 2.556
'bali_phy_msa.27.fas', 0.829, 805, 0.177, 0.0, 0.0, 272.6, 2.589
'bali_phy_msa.270.fas', 0.828, 806, 0.18, 0.0, 0.0, 273.612, 2.602
'bali_phy_msa.271.fas', 0.831, 790, 0.178, 0.0, 0.0, 268.765, 2.602
'bali_phy_msa.272.fas', 0.827, 803, 0.181, 0.0, 0.0, 272.431, 2.602
'bali_phy_msa.273.fas', 0.826, 807, 0.181, 0.0, 0.0, 274.692, 2.588
'bali_phy_msa.274.fas', 0.828, 803, 0.181, 0.0, 0.0, 270.267, 2.557
'bali_phy_msa.275.fas', 0.827, 794, 0.181, 0.0, 0.0, 272.614, 2.594
'bali_phy_msa.276.fas', 0.83, 800, 0.178, 0.0, 0.0, 270.521, 2.575
'bali_phy_msa.277.fas', 0.832, 805, 0.175, 0.0, 0.0, 271.009, 2.575
'bali_phy_msa.278.fas', 0.827, 801, 0.179, 0.0, 0.0, 271.967, 2.612
'bali_phy_msa.279.fas', 0.826, 802, 0.182, 0.0, 0.0, 271.292, 2.614
'bali_phy_msa.28.fas', 0.821, 798, 0.185, 0.0, 0.0, 277.164, 2.6
'bali_phy_msa.280.fas', 0.831, 797, 0.176, 0.0, 0.0, 271.33, 2.602
'bali_phy_msa.281.fas', 0.829, 798, 0.18, 0.0, 0.0, 269.662, 2.57
'bali_phy_msa.282.fas', 0.829, 796, 0.177, 0.0, 0.0, 270.053, 2.583
'bali_phy_msa.283.fas', 0.829, 802, 0.179, 0.0, 0.0, 273.776, 2.596
'bali_phy_msa.284.fas', 0.831, 802, 0.177, 0.0, 0.0, 268.728, 2.575
'bali_phy_msa.285.fas', 0.832, 793, 0.176, 0.0, 0.0, 267.9, 2.602
'bali_phy_msa.286.fas', 0.832, 810, 0.175, 0.0, 0.0, 270.404, 2.583
'bali_phy_msa.287.fas', 0.826, 802, 0.183, 0.0, 0.0, 272.135, 2.608
'bali_phy_msa.288.fas', 0.831, 812, 0.175, 0.0, 0.0, 272.54, 2.602
'bali_phy_msa.289.fas', 0.83, 794, 0.179, 0.0, 0.0, 271.778, 2.577
'bali_phy_msa.29.fas', 0.828, 791, 0.179, 0.0, 0.0, 270.314, 2.596
'bali_phy_msa.290.fas', 0.834, 810, 0.174, 0.0, 0.0, 268.561, 2.583
'bali_phy_msa.291.fas', 0.831, 796, 0.178, 0.0, 0.0, 269.416, 2.594
'bali_phy_msa.292.fas', 0.831, 795, 0.178, 0.0, 0.0, 267.759, 2.612
'bali_phy_msa.293.fas', 0.828, 802, 0.18, 0.0, 0.0, 272.6, 2.602
'bali_phy_msa.294.fas', 0.828, 797, 0.179, 0.0, 0.0, 270.757, 2.583
'bali_phy_msa.295.fas', 0.826, 797, 0.18, 0.0, 0.0, 275.061, 2.596
'bali_phy_msa.296.fas', 0.829, 798, 0.179, 0.0, 0.0, 270.045, 2.602
'bali_phy_msa.297.fas', 0.829, 799, 0.178, 0.0, 0.0, 270.464, 2.557
'bali_phy_msa.298.fas', 0.827, 791, 0.181, 0.0, 0.0, 270.651, 2.583
'bali_phy_msa.299.fas', 0.826, 802, 0.181, 0.0, 0.0, 276.812, 2.575
'bali_phy_msa.3.fas', 0.846, 773, 0.165, 0.0, 0.0, 257.3, 2.614
'bali_phy_msa.30.fas', 0.832, 807, 0.174, 0.0, 0.0, 269.31, 2.583
'bali_phy_msa.300.fas', 0.83, 802, 0.176, 0.0, 0.0, 271.625, 2.574
'bali_phy_msa.301.fas', 0.828, 792, 0.18, 0.0, 0.0, 270.109, 2.612
'bali_phy_msa.302.fas', 0.83, 801, 0.179, 0.0, 0.0, 269.583, 2.57
'bali_phy_msa.303.fas', 0.829, 799, 0.179, 0.0, 0.0, 269.707, 2.6
'bali_phy_msa.304.fas', 0.826, 794, 0.181, 0.0, 0.0, 272.832, 2.602
'bali_phy_msa.305.fas', 0.829, 806, 0.179, 0.0, 0.0, 271.953, 2.602
'bali_phy_msa.306.fas', 0.83, 812, 0.177, 0.0, 0.0, 270.479, 2.602
'bali_phy_msa.307.fas', 0.828, 804, 0.18, 0.0, 0.0, 274.041, 2.583
'bali_phy_msa.308.fas', 0.829, 799, 0.178, 0.0, 0.0, 271.248, 2.575
'bali_phy_msa.309.fas', 0.824, 805, 0.183, 0.0, 0.0, 274.688, 2.602
'bali_phy_msa.31.fas', 0.832, 803, 0.176, 0.0, 0.0, 269.443, 2.602
'bali_phy_msa.310.fas', 0.827, 793, 0.181, 0.0, 0.0, 269.529, 2.602
'bali_phy_msa.311.fas', 0.825, 806, 0.182, 0.0, 0.0, 272.715, 2.604
'bali_phy_msa.312.fas', 0.832, 807, 0.175, 0.0, 0.0, 270.9, 2.602
'bali_phy_msa.313.fas', 0.829, 799, 0.178, 0.0, 0.0, 270.847, 2.583
'bali_phy_msa.314.fas', 0.831, 809, 0.177, 0.0, 0.0, 271.21, 2.583
'bali_phy_msa.315.fas', 0.83, 803, 0.178, 0.0, 0.0, 269.136, 2.582
'bali_phy_msa.316.fas', 0.83, 797, 0.178, 0.0, 0.0, 270.053, 2.594
'bali_phy_msa.317.fas', 0.828, 807, 0.179, 0.0, 0.0, 272.863, 2.612
'bali_phy_msa.318.fas', 0.828, 802, 0.18, 0.0, 0.0, 271.262, 2.602
'bali_phy_msa.319.fas', 0.827, 798, 0.181, 0.0, 0.0, 272.021, 2.602
'bali_phy_msa.32.fas', 0.829, 806, 0.178, 0.0, 0.0, 272.147, 2.588
'bali_phy_msa.320.fas', 0.828, 788, 0.181, 0.0, 0.0, 270.359, 2.602
'bali_phy_msa.321.fas', 0.829, 794, 0.179, 0.0, 0.0, 271.244, 2.596
'bali_phy_msa.322.fas', 0.823, 799, 0.184, 0.0, 0.0, 275.416, 2.649
'bali_phy_msa.323.fas', 0.829, 803, 0.178, 0.0, 0.0, 270.984, 2.575
'bali_phy_msa.324.fas', 0.822, 799, 0.186, 0.0, 0.0, 274.206, 2.574
'bali_phy_msa.325.fas', 0.83, 808, 0.177, 0.0, 0.0, 270.253, 2.641
'bali_phy_msa.326.fas', 0.831, 799, 0.176, 0.0, 0.0, 270.696, 2.583
'bali_phy_msa.327.fas', 0.833, 800, 0.175, 0.0, 0.0, 269.104, 2.602
'bali_phy_msa.328.fas', 0.831, 802, 0.177, 0.0, 0.0, 268.365, 2.596
'bali_phy_msa.329.fas', 0.828, 807, 0.179, 0.0, 0.0, 272.346, 2.594
'bali_phy_msa.33.fas', 0.83, 804, 0.177, 0.0, 0.0, 270.986, 2.575
'bali_phy_msa.330.fas', 0.826, 798, 0.182, 0.0, 0.0, 271.9, 2.575
'bali_phy_msa.331.fas', 0.826, 794, 0.181, 0.0, 0.0, 273.697, 2.602
'bali_phy_msa.332.fas', 0.822, 799, 0.183, 0.0, 0.0, 278.186, 2.61
'bali_phy_msa.333.fas', 0.826, 793, 0.181, 0.0, 0.0, 272.898, 2.596
'bali_phy_msa.334.fas', 0.827, 793, 0.181, 0.0, 0.0, 270.923, 2.583
'bali_phy_msa.335.fas', 0.827, 798, 0.182, 0.0, 0.0, 271.264, 2.612
'bali_phy_msa.336.fas', 0.828, 799, 0.179, 0.0, 0.0, 271.345, 2.596
'bali_phy_msa.337.fas', 0.826, 795, 0.182, 0.0, 0.0, 272.221, 2.612
'bali_phy_msa.338.fas', 0.828, 795, 0.181, 0.0, 0.0, 270.08, 2.571
'bali_phy_msa.339.fas', 0.829, 800, 0.179, 0.0, 0.0, 269.376, 2.612
'bali_phy_msa.34.fas', 0.83, 799, 0.177, 0.0, 0.0, 270.06, 2.602
'bali_phy_msa.340.fas', 0.831, 815, 0.177, 0.0, 0.0, 272.743, 2.565
'bali_phy_msa.341.fas', 0.832, 801, 0.175, 0.0, 0.0, 270.51, 2.602
'bali_phy_msa.342.fas', 0.832, 799, 0.176, 0.0, 0.0, 268.102, 2.575
'bali_phy_msa.343.fas', 0.828, 803, 0.179, 0.0, 0.0, 271.235, 2.583
'bali_phy_msa.344.fas', 0.828, 796, 0.179, 0.0, 0.0, 270.983, 2.602
'bali_phy_msa.345.fas', 0.821, 798, 0.186, 0.0, 0.0, 276.46, 2.608
'bali_phy_msa.346.fas', 0.828, 802, 0.18, 0.0, 0.0, 272.074, 2.602
'bali_phy_msa.347.fas', 0.829, 799, 0.179, 0.0, 0.0, 271.74, 2.568
'bali_phy_msa.348.fas', 0.826, 794, 0.182, 0.0, 0.0, 272.724, 2.596
'bali_phy_msa.349.fas', 0.828, 800, 0.179, 0.0, 0.0, 273.148, 2.583
'bali_phy_msa.35.fas', 0.826, 783, 0.183, 0.0, 0.0, 271.388, 2.596
'bali_phy_msa.350.fas', 0.824, 799, 0.182, 0.0, 0.0, 274.222, 2.61
'bali_phy_msa.351.fas', 0.828, 807, 0.179, 0.0, 0.0, 271.787, 2.594
'bali_phy_msa.352.fas', 0.828, 806, 0.179, 0.0, 0.0, 272.434, 2.602
'bali_phy_msa.353.fas', 0.826, 799, 0.18, 0.0, 0.0, 272.967, 2.583
'bali_phy_msa.354.fas', 0.826, 802, 0.18, 0.0, 0.0, 275.011, 2.575
'bali_phy_msa.355.fas', 0.832, 798, 0.176, 0.0, 0.0, 268.768, 2.61
'bali_phy_msa.356.fas', 0.827, 796, 0.18, 0.0, 0.0, 271.369, 2.594
'bali_phy_msa.357.fas', 0.833, 803, 0.175, 0.0, 0.0, 269.525, 2.577
'bali_phy_msa.358.fas', 0.834, 807, 0.173, 0.0, 0.0, 267.627, 2.575
