code_K5,k_mer_max_K5,k_mer_average_K5,k_mer_95_pct_K5,k_mer_90_pct_K5,kmer_sum_of_top_10_K5
'bali_phy_msa.182.fas', 16678, 6.368, 4, 3, 17066
'bali_phy_msa.183.fas', 16029, 6.253, 4, 3, 16429
'bali_phy_msa.184.fas', 16539, 6.286, 4, 3, 17017
'bali_phy_msa.185.fas', 16885, 6.551, 4, 3, 17311
'bali_phy_msa.186.fas', 16466, 6.347, 4, 3, 16901
'bali_phy_msa.187.fas', 16097, 6.313, 4, 3, 16554
'bali_phy_msa.188.fas', 16678, 6.431, 4, 3, 17135
'bali_phy_msa.189.fas', 16218, 6.274, 4, 3, 16588
'bali_phy_msa.19.fas', 16621, 6.604, 5, 3, 17143
'bali_phy_msa.190.fas', 15999, 6.269, 4, 3, 16434
'bali_phy_msa.191.fas', 16507, 6.335, 4, 3, 16882
'bali_phy_msa.192.fas', 16184, 6.36, 4, 3, 16618
'bali_phy_msa.193.fas', 16655, 6.253, 4, 3, 17043
'bali_phy_msa.194.fas', 16205, 6.329, 4, 3, 16649
'bali_phy_msa.195.fas', 15875, 6.271, 4, 3, 16288
'bali_phy_msa.196.fas', 16521, 6.314, 4, 3, 16975
'bali_phy_msa.197.fas', 18564, 7.105, 5, 3, 19014
'bali_phy_msa.198.fas', 16525, 6.297, 4, 3, 16955
'bali_phy_msa.199.fas', 16530, 6.754, 5, 3, 17127
'bali_phy_msa.2.fas', 17218, 6.858, 5, 3, 17797
'bali_phy_msa.20.fas', 17203, 6.43, 4, 3, 17628
'bali_phy_msa.200.fas', 16357, 6.483, 4, 3, 16853
'bali_phy_msa.201.fas', 16628, 6.396, 4, 3, 16979
'bali_phy_msa.202.fas', 17046, 6.675, 4, 3, 17536
'bali_phy_msa.203.fas', 16485, 6.403, 4, 3, 16894
'bali_phy_msa.204.fas', 16894, 6.738, 5, 3, 17456
'bali_phy_msa.205.fas', 16166, 6.163, 4, 3, 16600
'bali_phy_msa.206.fas', 16525, 6.392, 4, 3, 16916
'bali_phy_msa.207.fas', 16910, 6.602, 5, 3, 17369
'bali_phy_msa.208.fas', 17462, 6.643, 4, 3, 17870
'bali_phy_msa.209.fas', 16589, 6.457, 4, 3, 17030
'bali_phy_msa.21.fas', 16428, 6.405, 4, 3, 16883
'bali_phy_msa.210.fas', 17256, 6.547, 4, 3, 17695
'bali_phy_msa.211.fas', 17274, 6.616, 4, 3, 17710
'bali_phy_msa.212.fas', 16187, 6.202, 4, 3, 16597
'bali_phy_msa.213.fas', 16930, 6.38, 4, 3, 17365
'bali_phy_msa.214.fas', 16229, 6.561, 5, 3, 16809
'bali_phy_msa.215.fas', 16798, 6.517, 4, 3, 17251
'bali_phy_msa.216.fas', 16668, 6.562, 4, 3, 17149
'bali_phy_msa.217.fas', 16182, 6.181, 4, 3, 16563
'bali_phy_msa.218.fas', 16442, 6.326, 4, 3, 16868
'bali_phy_msa.219.fas', 16884, 6.463, 4, 3, 17308
