code_PAM250_GO_-6_GE_-0.2,sp_HENIKOFF_with_gaps_PAM250_GO_-6_GE_-0.2,sp_HENIKOFF_without_gaps_PAM250_GO_-6_GE_-0.2,sp_CLUSTAL_WEIGHTS_mid_root_PAM250_GO_-6_GE_-0.2,sp_CLUSTAL_WEIGHTS_diff_sum_PAM250_GO_-6_GE_-0.2
'bali_phy_msa.172.fas', 166.053, 160.216, 1633.319, 1447.965
'bali_phy_msa.173.fas', 168.878, 163.52, 1753.609, 1506.328
'bali_phy_msa.174.fas', 169.526, 164.236, 1833.923, 1481.644
'bali_phy_msa.175.fas', 167.53, 161.785, 1700.53, 1449.62
'bali_phy_msa.176.fas', 168.203, 162.542, 1632.563, 1468.949
'bali_phy_msa.177.fas', 167.609, 161.848, 1770.41, 1443.75
'bali_phy_msa.178.fas', 168.075, 162.666, 1672.845, 1504.866
'bali_phy_msa.179.fas', 166.718, 160.94, 1610.997, 1409.251
'bali_phy_msa.18.fas', 168.443, 162.605, 1744.995, 1456.407
'bali_phy_msa.180.fas', 166.827, 160.935, 1823.002, 1459.376
'bali_phy_msa.181.fas', 166.968, 161.39, 1728.989, 1478.076
'bali_phy_msa.182.fas', 168.026, 162.527, 1752.014, 1463.209
'bali_phy_msa.183.fas', 168.755, 163.375, 1783.703, 1479.134
'bali_phy_msa.184.fas', 168.898, 163.521, 1865.597, 1499.984
'bali_phy_msa.185.fas', 167.657, 162.09, 1734.647, 1443.164
'bali_phy_msa.186.fas', 168.327, 162.819, 1659.341, 1496.809
'bali_phy_msa.187.fas', 167.668, 161.822, 1708.641, 1435.059
'bali_phy_msa.188.fas', 167.541, 161.884, 1699.635, 1432.012
'bali_phy_msa.189.fas', 166.624, 161.063, 1788.332, 1459.285
'bali_phy_msa.19.fas', 168.952, 163.504, 1883.589, 1489.891
'bali_phy_msa.190.fas', 167.907, 162.373, 1689.01, 1490.884
'bali_phy_msa.191.fas', 168.355, 163.158, 1819.461, 1507.807
'bali_phy_msa.192.fas', 167.786, 162.379, 1624.217, 1461.533
'bali_phy_msa.193.fas', 169.341, 164.222, 1816.078, 1514.192
'bali_phy_msa.194.fas', 165.825, 160.045, 1672.485, 1412.359
'bali_phy_msa.195.fas', 167.766, 162.315, 1631.666, 1478.627
'bali_phy_msa.196.fas', 169.924, 165.145, 1726.551, 1545.586
'bali_phy_msa.197.fas', 168.163, 162.743, 1750.239, 1458.938
'bali_phy_msa.198.fas', 168.138, 162.531, 1848.867, 1466.69
'bali_phy_msa.199.fas', 168.442, 163.357, 1783.186, 1479.61
'bali_phy_msa.2.fas', 163.988, 157.289, 1628.767, 1333.954
'bali_phy_msa.20.fas', 169.66, 164.496, 1752.558, 1520.098
'bali_phy_msa.200.fas', 167.766, 162.12, 1667.744, 1482.364
'bali_phy_msa.201.fas', 168.399, 163.108, 1775.896, 1475.78
'bali_phy_msa.202.fas', 168.85, 163.32, 1824.812, 1481.549
'bali_phy_msa.203.fas', 167.433, 161.68, 1550.699, 1450.84
'bali_phy_msa.204.fas', 167.393, 161.777, 1607.201, 1454.996
'bali_phy_msa.205.fas', 167.237, 161.487, 1717.777, 1451.807
'bali_phy_msa.206.fas', 168.872, 163.459, 1768.576, 1504.592
'bali_phy_msa.207.fas', 168.625, 163.206, 1649.947, 1486.351
'bali_phy_msa.208.fas', 169.38, 164.062, 1801.0, 1510.745
'bali_phy_msa.209.fas', 167.815, 162.351, 1665.91, 1477.044
'bali_phy_msa.21.fas', 167.35, 161.542, 1750.805, 1463.588
'bali_phy_msa.210.fas', 168.998, 163.627, 1796.286, 1496.948
'bali_phy_msa.211.fas', 169.949, 165.03, 1868.77, 1539.665
'bali_phy_msa.212.fas', 169.138, 163.827, 1780.619, 1508.178
'bali_phy_msa.213.fas', 167.525, 162.185, 1843.783, 1487.866
'bali_phy_msa.214.fas', 168.921, 163.429, 1852.583, 1507.87
'bali_phy_msa.215.fas', 166.299, 160.309, 1653.445, 1410.333
'bali_phy_msa.216.fas', 169.067, 163.877, 1751.709, 1492.313
'bali_phy_msa.217.fas', 168.545, 162.872, 1702.533, 1461.917
'bali_phy_msa.218.fas', 167.297, 161.809, 1789.421, 1477.189
'bali_phy_msa.219.fas', 169.816, 164.606, 1798.78, 1510.642
'bali_phy_msa.22.fas', 167.224, 161.628, 1812.384, 1439.041
'bali_phy_msa.220.fas', 168.158, 162.597, 1732.488, 1470.535
'bali_phy_msa.221.fas', 167.308, 161.426, 1663.36, 1441.872
'bali_phy_msa.222.fas', 168.687, 163.563, 1798.623, 1506.496
'bali_phy_msa.223.fas', 167.357, 161.776, 1761.846, 1470.98
'bali_phy_msa.224.fas', 169.491, 164.352, 1724.912, 1493.41
'bali_phy_msa.225.fas', 169.295, 164.134, 1796.354, 1516.668
'bali_phy_msa.226.fas', 168.329, 162.875, 1705.33, 1473.341
'bali_phy_msa.227.fas', 169.27, 163.986, 1779.003, 1505.368
'bali_phy_msa.228.fas', 169.389, 164.075, 1873.751, 1512.543
'bali_phy_msa.229.fas', 167.713, 162.141, 1677.978, 1486.721
'bali_phy_msa.23.fas', 168.425, 162.658, 1670.514, 1461.26
'bali_phy_msa.230.fas', 168.713, 163.482, 1782.635, 1478.9
'bali_phy_msa.231.fas', 169.214, 164.0, 1754.682, 1485.694
'bali_phy_msa.232.fas', 167.641, 162.159, 1822.964, 1489.603
'bali_phy_msa.233.fas', 167.703, 162.028, 1651.285, 1450.944
'bali_phy_msa.234.fas', 168.753, 163.84, 1732.996, 1489.665
'bali_phy_msa.235.fas', 168.377, 162.902, 1644.456, 1498.075
'bali_phy_msa.236.fas', 168.38, 163.228, 1895.304, 1532.223
'bali_phy_msa.237.fas', 169.598, 164.578, 1838.621, 1521.064
'bali_phy_msa.238.fas', 165.424, 159.471, 1683.246, 1428.278
'bali_phy_msa.239.fas', 167.89, 162.289, 1568.984, 1483.165
'bali_phy_msa.24.fas', 167.803, 161.93, 1750.263, 1457.455
'bali_phy_msa.240.fas', 167.072, 161.514, 1778.608, 1472.57
'bali_phy_msa.241.fas', 166.922, 161.813, 1788.492, 1510.471
'bali_phy_msa.242.fas', 169.114, 163.718, 1784.64, 1482.173
