code_BLOSUM62_GO_-10_GE_-0.2,sp_match_count,sp_match_count_norm,sp_mismatch_count,sp_mismatch_count_norm,sp_go,sp_go_norm,sp_ge,sp_ge_norm,sp_match_BLOSUM62,sp_match_norm_BLOSUM62,sp_mismatch_BLOSUM62,sp_mismatch_norm_BLOSUM62,sp_BLOSUM62_GO_-10_GE_-0.2,sp_norm_BLOSUM62_GO_-10_GE_-0.2
'MUSCLE_diversified_replicate.none.124.afa', 33457.0, 0.058, 28812, 0.05, 4646, 0.008, 97383, 0.17, 181437.0, 0.316, -16325, -0.028, 99175.4, 0.173
'MUSCLE_diversified_replicate.none.128.afa', 33505.0, 0.056, 28664, 0.048, 4737, 0.008, 97583, 0.164, 181608.0, 0.305, -16202, -0.027, 98519.4, 0.165
'MUSCLE_diversified_replicate.none.132.afa', 33247.0, 0.066, 28964, 0.058, 4893, 0.01, 97499, 0.194, 180429.0, 0.359, -16881, -0.034, 95118.2, 0.189
'MUSCLE_diversified_replicate.none.136.afa', 33541.0, 0.055, 28669, 0.047, 4883, 0.008, 97501, 0.16, 181876.0, 0.299, -16088, -0.026, 97457.8, 0.16
'MUSCLE_diversified_replicate.none.140.afa', 31804.0, 0.052, 33274, 0.055, 4773, 0.008, 91765, 0.15, 172820.0, 0.283, -23125, -0.038, 83612.0, 0.137
'MUSCLE_diversified_replicate.none.144.afa', 33475.0, 0.053, 28519, 0.045, 4787, 0.008, 97933, 0.155, 181518.0, 0.287, -16061, -0.025, 98000.4, 0.155
'MUSCLE_diversified_replicate.none.148.afa', 32073.0, 0.054, 33076, 0.056, 4837, 0.008, 91623, 0.154, 174025.0, 0.293, -22730, -0.038, 84600.4, 0.142
'MUSCLE_diversified_replicate.none.152.afa', 33552.0, 0.053, 28547, 0.045, 4759, 0.008, 97723, 0.154, 181760.0, 0.287, -15889, -0.025, 98736.4, 0.156
'MUSCLE_diversified_replicate.none.156.afa', 33692.0, 0.069, 28676, 0.059, 4723, 0.01, 97185, 0.198, 182711.0, 0.373, -15893, -0.032, 100151.0, 0.204
'MUSCLE_diversified_replicate.none.16.afa', 33522.0, 0.056, 28597, 0.047, 4655, 0.008, 97683, 0.162, 181753.0, 0.302, -15894, -0.026, 99772.4, 0.166
'MUSCLE_diversified_replicate.none.160.afa', 32206.0, 0.055, 33288, 0.057, 4665, 0.008, 90933, 0.156, 174753.0, 0.299, -22857, -0.039, 87059.4, 0.149
'MUSCLE_diversified_replicate.none.164.afa', 33705.0, 0.058, 28462, 0.049, 4945, 0.008, 97587, 0.168, 182805.0, 0.314, -15431, -0.027, 98406.6, 0.169
'MUSCLE_diversified_replicate.none.168.afa', 32034.0, 0.055, 33472, 0.057, 4613, 0.008, 90909, 0.156, 174051.0, 0.298, -23031, -0.039, 86708.2, 0.149
'MUSCLE_diversified_replicate.none.172.afa', 32012.0, 0.055, 33278, 0.058, 4631, 0.008, 91341, 0.158, 173811.0, 0.301, -23307, -0.04, 85925.8, 0.149
'MUSCLE_diversified_replicate.none.176.afa', 31956.0, 0.055, 33411, 0.057, 4678, 0.008, 91187, 0.156, 173695.0, 0.297, -22964, -0.039, 85713.6, 0.146
'MUSCLE_diversified_replicate.none.180.afa', 33587.0, 0.056, 28524, 0.047, 4775, 0.008, 97699, 0.162, 182134.0, 0.302, -15738, -0.026, 99106.2, 0.164
'MUSCLE_diversified_replicate.none.184.afa', 33471.0, 0.067, 28767, 0.058, 4882, 0.01, 97445, 0.196, 181666.0, 0.365, -16023, -0.032, 97334.0, 0.196
'MUSCLE_diversified_replicate.none.188.afa', 33475.0, 0.055, 28599, 0.047, 4712, 0.008, 97773, 0.16, 181620.0, 0.297, -16190, -0.026, 98755.4, 0.161
'MUSCLE_diversified_replicate.none.192.afa', 31925.0, 0.053, 33346, 0.055, 4648, 0.008, 91379, 0.151, 173345.0, 0.287, -22934, -0.038, 85655.2, 0.142
'MUSCLE_diversified_replicate.none.196.afa', 33160.0, 0.058, 28864, 0.05, 4699, 0.008, 97873, 0.171, 179878.0, 0.314, -16434, -0.029, 96879.4, 0.169
